Country	Builder	Location	Ship	Class / type
Royal Navy	Laird, Son & Co.	Birkenhead	HMSVanguard	Audacious-classbattleship
Hellenic Navy	Stabilimento Tecnico Triestino	Trieste	Vasilissa Olga	Battleship
United Kingdom	Maudslay, Sons & Field	Greenwich	Blackadder	Clipper
Royal Navy	Dudgeon	Poplar, London	HMSAbyssinia	Breastwork monitor
Royal Navy	Pembroke Dockyard	Pembroke	HMSIron Duke	Audacious-classbattleship
Royal Navy	Thames Ironworks and Shipbuilding Company	River Thames	HMSMagdala	Cerberus-classmonitor
United Kingdom	J & G Thomson	Govan	SSAbyssinia	ocean liner
Royal Navy	Napier	Govan	HMSHotspur	Ironclad ram
Royal Navy	Chatham Dockyard	Chatham	HMSSultan	Central battery ironclad
Royal Navy	Palmers Shipbuilding and Iron Company	Jarrow	HMSSwiftsure	Swiftsure-class battleship
United Kingdom	Harland and Wolff	Belfast	RMSOceanic	ocean liner
United Kingdom	William Denny and Brothers	Dumbarton	SSParthia	ocean liner
Royal Navy	Palmers Shipbuilding and Iron Company	Jarrow	HMSTriumph	Swiftsure-class battleship
Royal Navy	Pembroke Dockyard	Pembroke	HMYOsborne	Royal yacht
Imperial Japanese Navy	A. Hall & Co.	Aberdeen	Unyo	Gunboat
