Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	17-4	Ivan Menjivar	Decision (unanimous)	UFC 165	3	5:00	Toronto, Ontario, Canada
Win	16-4	Owen Roddy	Submission (rear-naked choke)	Cage Warriors 50	3	1:38	Glasgow, Scotland, United Kingdom
Win	15-4	Billy Vaughan	Submission (arm-triangle choke)	Matrix Fights 7	1	3:28	Philadelphia, Pennsylvania, United States
Win	14-4	Cody Stevens	Decision (unanimous)	Matrix Fights 6	3	5:00	Philadelphia, Pennsylvania, United States
Win	13-4	Bruno Menezas	Submission (rear naked choke)	WFE 11 - Platinum	1	3:20	Salvador, Bahia , Brazil
Loss	12-4	Eduardo Dantas	KO (flying knee and punches)	Bellator 51	2	1:02	Canton, Ohio , United States
Loss	12-3	Patricio Freire	KO (punches)	Bellator 41	3	3:29	Yuma, Arizona , United States
Win	12-2	Zac George	Submission (rear-naked choke)	Bellator 37	1	2:09	Concho, Oklahoma , United States
Win	11-2	Deividas Taurosevičius	Decision (split)	Bellator 33	3	5:00	Philadelphia, Pennsylvania, United States
Loss	10-2	Patricio Freire	Decision (unanimous)	Bellator 18	3	5:00	Monroe, Louisiana , United States
Win	10-1	Shad Lierley	Submission (rear-naked choke)	Bellator 14	3	3:33	Hollywood, Florida , United States
Win	9-1	Dwayne Shelton	Decision (unanimous)	Locked in the Cage 1	3	5:00	Philadelphia, Pennsylvania, United States
Win	8-1	Roberto Vargas	Decision (split)	Bellator 10	3	5:00	Ontario, California , United States
Loss	7-1	Joe Soto	Decision (unanimous)	Bellator 6	3	5:00	Robstown, Texas , United States
Win	7-0	Henry Martinez	Decision (unanimous)	Bellator 2	3	5:00	Uncasville, Connecticut , United States
Win	6-0	Abel Cullum	Decision (unanimous)	ShoXC 8	5	5:00	Santa Ynez, California , United States
Win	5-0	Bryan Caraway	Decision (unanimous)	EliteXC: Unfinished Business	3	5:00	Stockton, California , United States
Win	4-0	Justin Robbins	Submission (rear-naked choke)	EliteXC: Primetime	1	4:06	Newark, New Jersey , United States
Win	3-0	Zach Makovsky	Submission (arm-triangle choke)	ShoXC 4	2	1:15	Atlantic City, New Jersey, United States
Win	2-0	Diego Jimenez	Submission (rear-naked choke)	CITC: Fearless Fighters Return	1	2:00	Trenton, New Jersey , United States
Win	1-0	Baba Shigeyasu	Decision (unanimous)	Extreme Challenge 81	3	5:00	West Orange, New Jersey , United States
