Network	Origin of Programming	Language	Genre	Service
ABP News	India	Hindi	News	Pehla
ARY Digital	Pakistan	Urdu	General	Pehla
Asianet	India	Malayalam	General	Pehla
Asianet News	India	Malayalam	News	Pehla
Channel [V] India	India	Hindi	Music	Pehla
Colors	India	Hindi	General	Pehla
Gemini TV	India	Telugu	General	Pehla
Geo TV	Pakistan	Urdu	General	Pehla
Hum TV	Pakistan	Urdu	General	Pehla
Indus Vision	Pakistan	Urdu	General	Pehla
Jaya TV	India	Tamil	General	Pehla
Kairali	India	Malayalam	General	Pehla
Life OK	India	Hindi	General	Pehla
MTV India	India	Hindi	Music	Pehla
NDTV 24x7	India	English	News	Pehla
SET Max	India	Hindi	Movies	Pehla
Sony Entertainment Television Asia	India	Hindi	General	Pehla
STAR Gold	India	Hindi	Movies	Pehla
STAR Jalsha	India	Bengali	General	Pehla
STAR Plus	India	Hindi	General	Pehla
Sun TV	India	Tamil	General	Pehla
Surya TV	India	Malayalam	General	Pehla
TEN Cricket	India	English	Cricket	Pehla
Udaya TV	India	Kannada	General	Pehla
Vijay	India	Tamil	General	Pehla
Times Now	India	English	News	Pehla
UTV Bindass	India	Hindi	General	Pehla
UTV Movies	India	Hindi	Movies	Pehla
UTV Stars	India	Hindi	Movies	Pehla
Zee Cinema	India	Hindi	Movies	Pehla
Zee News	India	Hindi	News	Pehla
Zee TV	India	Hindi	General	Pehla
