Total tenure rank	Uninterrupted rank	Name	Party affiliation	Total tenure time	Uninterrupted time
1	1	John Dingell (H)	Democratic Party	58years, 50days	58years, 50days
2	2	Robert Byrd (H,S)	Democratic Party	57 years, 176 days	57 years, 176 days
3	3	Carl Hayden (H,S)	Democratic Party	56 years, 319 days	56 years, 319 days
4	4	Daniel Inouye (H,S)	Democratic Party	53 years, 118 days	53 years, 118 days
5	5	Jamie L. Whitten (H)	Democratic Party	53 years, 60 days	53 years, 60 days
6	6	Carl Vinson (H)	Democratic Party	50 years, 61 days	50 years, 61 days
7	7	Emanuel Celler (H)	Democratic Party	49 years, 305 days	49 years, 305 days
8	8	John Conyers (H)	Democratic Party	49years, 29days	49years, 29days
9	9	Sam Rayburn (H)	Democratic Party	48 years, 257 days	48 years, 257 days
10	999	Sidney R. Yates (H,I)	Democratic Party	48 years, 0 days	n/a
11	12	Strom Thurmond (S,I)	Republican Party	47 years, 159 days	46 years, 57 days
12	10	Wright Patman (H)	Democratic Party	47 years, 3 days	47 years, 3 days
13	11	Ted Kennedy (S)	Democratic Party	46 years, 292 days	46 years, 292 days
14	999	Joseph Gurney Cannon (H,I)	Republican Party	46 years, 0 days	n/a
15	13	Adolph J. Sabath (H)	Democratic Party	45 years, 247 days	45 years, 247 days
16	14	J. Lister Hill (H,S)	Democratic Party	45 years, 142 days	45 years, 142 days
17	15	George H. Mahon (H)	Democratic Party	44 years, 0 days	44 years, 0 days
18	16	Warren Magnuson (H,S)	Democratic Party	44 years, 0 days	44 years, 0 days
19	17	Charles Edward Bennett (H)	Democratic Party	44 years, 0 days	44 years, 0 days
20	18	Justin Smith Morrill (H,S)	Republican Party	43 years, 299 days	43 years, 299 days
21	999	William B. Allison (H,S,I)	Republican Party	43 years, 152 days	n/a
22	19	Charles Melvin Price (H)	Democratic Party	43 years, 110 days	43 years, 110 days
23	20	Charles B. Rangel (H)	Democratic Party	43years, 29days	43years, 29days
24	21	Bill Young (H)	Republican Party	42 years, 288 days	42 years, 288 days
25	22	Henry M. Jackson (H,S)	Democratic Party	42 years, 241 days	42 years, 241 days
26	999	Carter Glass (H,S,I)	Democratic Party	42 years, 157 days	n/a
27	23	John William McCormack (H)	Democratic Party	42 years, 58 days	42 years, 58 days
28	24	John Sparkman (H,S)	Democratic Party	42 years, 0 days	42 years, 0 days
29	25	William R. Poage (H)	Democratic Party	42 years, 0 days	42 years, 0 days
30	26	Jack Brooks (H)	Democratic Party	42 years, 0 days	42 years, 0 days
31	27	Robert L. Doughton (H)	Democratic Party	41 years, 305 days	41 years, 305 days
32	28	Joseph William Martin, Jr. (H)	Republican Party	41 years, 305 days	41 years, 305 days
33	29	Dave Obey (H)	Democratic Party	41 years, 276 days	41 years, 276 days
34	30	Clarence Cannon (H)	Democratic Party	41 years, 69 days	41 years, 69 days
