Driver	Team	Laps	Time/Retired	Grid	Points
Paul Tracy	Forsythe Racing	81	1:44:12.348	3	32
Bruno Junqueira	Newman/Haas Racing	81	+5.681 secs	1	29
Sébastien Bourdais	Newman/Haas Racing	81	+6.375 secs	2	27
Patrick Carpentier	Forsythe Racing	81	+16.801 secs	7	24
Mario Domínguez	Herdez Competition	81	+17.527 secs	5	21
Justin Wilson	Mi-Jack Conquest Racing	81	+36.645 secs	11	20
Ryan Hunter-Reay	Herdez Competition	81	+38.926 secs	6	17
Alex Tagliani	Rocketsports Racing	81	+1:00.578	4	15
Mario Haberfeld	Walker Racing	80	+ 1 Lap	14	13
Rodolfo Lavín	Forsythe Racing	80	+ 1 Lap	9	11
Michel Jourdain, Jr.	RuSPORT	80	+ 1 Lap	13	10
A. J. Allmendinger	RuSPORT	79	+ 2 Laps	8	9
Nelson Philippe	Rocketsports Racing	78	+ 3 Laps	16	8
Roberto González	PKV Racing	76	Gearbox	17	7
Oriol Servià	Dale Coyne Racing	14	Oil Leak	12	6
Jimmy Vasser	PKV Racing	1	Contact	10	5
Alex Sperafico	Mi-Jack Conquest Racing	1	Contact	15	4
Tarso Marques	Dale Coyne Racing	1	Contact	18	3
