Week	Date	Opponent	Result	Record	TV Time	Attendance
1	September 8, 2002	at Carolina Panthers	L 10–7	0–1–0	CBS 1:00pm	70,386
2	September 15, 2002	Tampa Bay Buccaneers	L 25–0	0–2–0	FOX 1:00pm	69,304
3	Bye	Bye	Bye	Bye	Bye	Bye
4	September 30, 2002	Denver Broncos	W 34–23	1–2–0	ABC 9:00pm	69,538
5	October 6, 2002	at Cleveland Browns	W 26–21	2–2–0	ESPN 8:30pm	73,688
6	October 13, 2002	at Indianapolis Colts	L 22–20	2–3–0	CBS 1:00pm	56,174
7	October 20, 2002	Jacksonville Jaguars	W 17–10	3–3–0	CBS 1:00pm	69,173
8	October 27, 2002	Pittsburgh Steelers	L 31–18	3–4–0	CBS 1:00pm	69,638
9	November 3, 2002	at Atlanta Falcons	L 20–17	3–5–0	CBS 1:00pm	68,532
10	November 10, 2002	Cincinnati Bengals	W 38–27	4–5–0	CBS 1:00pm	69,024
11	November 17, 2002	at Miami Dolphins	L 26–7	4–6–0	CBS 4:15pm	73,013
12	November 24, 2002	Tennessee Titans	W 13–12	5–6–0	CBS 1;00pm	69,365
13	December 1, 2002	at Cincinnati Bengals	W 27–23	6–6–0	CBS 1:00pm	44,878
14	December 8, 2002	New Orleans Saints	L 37–25	6–7–0	FOX 4:15pm	69,334
15	December 15, 2002	at Houston Texans	W 23–19	7–7–0	CBS 1:00pm	70,108
16	December 22, 2002	Cleveland Browns	L 14–13	7–8–0	CBS 4:15pm	69,348
17	December 29, 2002	at Pittsburgh Steelers	L 34–31	7–9–0	CBS 1:00pm	61,961
