BRNo.	Name	Builder	Whenbuilt	Withdrawn
34071	601 Squadron	Brighton	Cannot handle non-empty timestamp argument! 1948	Cannot handle non-empty timestamp argument! 1967
34072	257 Squadron	Brighton	Cannot handle non-empty timestamp argument! 1948	Cannot handle non-empty timestamp argument! 1964
34073	249 Squadron	Brighton	Cannot handle non-empty timestamp argument! 1948	Cannot handle non-empty timestamp argument! 1964
34074	46 Squadron	Brighton	Cannot handle non-empty timestamp argument! 1948	Cannot handle non-empty timestamp argument! 1963
34075	264 Squadron	Brighton	Cannot handle non-empty timestamp argument! 1948	Cannot handle non-empty timestamp argument! 1964
34076	41 Squadron	Brighton	Cannot handle non-empty timestamp argument! 1948	Cannot handle non-empty timestamp argument! 1966
34077	603 Squadron	Brighton	Cannot handle non-empty timestamp argument! 1948	Cannot handle non-empty timestamp argument! 1967
34078	222 Squadron	Brighton	Cannot handle non-empty timestamp argument! 1948	Cannot handle non-empty timestamp argument! 1964
34079	141 Squadron	Brighton	Cannot handle non-empty timestamp argument! 1948	Cannot handle non-empty timestamp argument! 1966
34080	74 Squadron	Brighton	Cannot handle non-empty timestamp argument! 1948	Cannot handle non-empty timestamp argument! 1964
34081	92 Squadron	Brighton	Cannot handle non-empty timestamp argument! 1948	Cannot handle non-empty timestamp argument! 1964
34082	615 Squadron	Brighton	Cannot handle non-empty timestamp argument! 1948	Cannot handle non-empty timestamp argument! 1966
34083	605 Squadron	Brighton	Cannot handle non-empty timestamp argument! 1948	Cannot handle non-empty timestamp argument! 1964
34084	253 Squadron	Brighton	Cannot handle non-empty timestamp argument! 1948	Cannot handle non-empty timestamp argument! 1965
34085	501 Squadron	Eastleigh	Cannot handle non-empty timestamp argument! 1948	Cannot handle non-empty timestamp argument! 1965
34086	219 Squadron	Brighton	Cannot handle non-empty timestamp argument! 1948	Cannot handle non-empty timestamp argument! 1966
34087	145 Squadron	Eastleigh	Cannot handle non-empty timestamp argument! 1948	Cannot handle non-empty timestamp argument! 1967
34088	213 Squadron	Brighton	Cannot handle non-empty timestamp argument! 1948	Cannot handle non-empty timestamp argument! 1967
34089	602 Squadron	Eastleigh	Cannot handle non-empty timestamp argument! 1948	Cannot handle non-empty timestamp argument! 1967
34090	Sir Eustace Missenden, Southern Railway	Brighton	Cannot handle non-empty timestamp argument! 1949	Cannot handle non-empty timestamp argument! 1967
34091	Weymouth	Brighton	Cannot handle non-empty timestamp argument! 1949	Cannot handle non-empty timestamp argument! 1964
34092	City of Wells	Brighton	Cannot handle non-empty timestamp argument! 1949	Cannot handle non-empty timestamp argument! 1964
34093	Saunton	Brighton	Cannot handle non-empty timestamp argument! 1949	Cannot handle non-empty timestamp argument! 1967
34094	Mortehoe	Brighton	Cannot handle non-empty timestamp argument! 1949	Cannot handle non-empty timestamp argument! 1964
34095	Brentor	Eastleigh	Cannot handle non-empty timestamp argument! 1949	Cannot handle non-empty timestamp argument! 1967
34096	Trevone	Brighton	Cannot handle non-empty timestamp argument! 1949	Cannot handle non-empty timestamp argument! 1964
34097	Holsworthy	Brighton	Cannot handle non-empty timestamp argument! 1949	Cannot handle non-empty timestamp argument! 1967
34098	Templecombe	Brighton	Cannot handle non-empty timestamp argument! 1949	Cannot handle non-empty timestamp argument! 1967
34099	Lynmouth	Brighton	Cannot handle non-empty timestamp argument! 1949	Cannot handle non-empty timestamp argument! 1964
34100	Appledore	Brighton	Cannot handle non-empty timestamp argument! 1949	Cannot handle non-empty timestamp argument! 1967
34101	Hartland	Eastleigh	Cannot handle non-empty timestamp argument! 1950	Cannot handle non-empty timestamp argument! 1966
34102	Lapford	Eastleigh	Cannot handle non-empty timestamp argument! 1950	Cannot handle non-empty timestamp argument! 1967
34103	Calstock	Brighton	Cannot handle non-empty timestamp argument! 1950	Cannot handle non-empty timestamp argument! 1965
34104	Bere Alston	Eastleigh	Cannot handle non-empty timestamp argument! 1950	Cannot handle non-empty timestamp argument! 1967
34105	Swanage	Brighton	Cannot handle non-empty timestamp argument! 1950	Cannot handle non-empty timestamp argument! 1964
34106	Lydford	Brighton	March 1950	September 1964
34107	Blandford Forum	Brighton	April 1950	September 1964
34108	Wincanton	Brighton	April 1950	June 1967
34109	Sir Trafford Leigh-Mallory	Brighton	May 1950	September 1964
34110	66 Squadron	Brighton	January 1951	November 1963
