Place	Player	Country	Score	To par	Money ( $ )
1	Sandy Lyle	Scotland	71-67-72-71=281	–7	183,800
2	Mark Calcavecchia	United States	71-69-72-70=282	–6	110,200
3	Craig Stadler	United States	76-69-70-68=283	–5	69,400
4	Ben Crenshaw	United States	72-73-67-72=284	–4	48,900
T5	Fred Couples	United States	75-68-71-71=285	–3	36,500
T5	Greg Norman	Australia	77-73-71-64=285	–3	36,500
T5	Don Pooley	United States	71-72-72-70=285	–3	36,500
8	David Frost	South Africa	73-74-71-68=286	–2	31,000
T9	Bernhard Langer	West Germany	71-72-71-73=287	–1	28,000
T9	Tom Watson	United States	72-71-73-71=287	–1	28,000
