Pick #	MLS team	Player	Position	Affiliation
31	D.C. United	Hayden Woodworth	M	Messiah College
32	MetroStars	Kenny Arena	D	University of Virginia
33	Kansas City Wizards	Taylor Graham	D	Stanford University
34	Dallas Burn	Mike Tranchilla	F	Creighton University
35	Chicago Fire	Rob Friend	F	UC Santa Barbara
36	San Jose Earthquakes	Josh Saunders	GK	University of California
37	Columbus Crew	Michael Ritch	F	Auburn University
38	Colorado Rapids	Matt Crawford	M	University of North Carolina
39	San Jose Earthquakes	Jamil Walker	M	Santa Clara University
40	Los Angeles Galaxy	Hamid Mehreioskouei	F	Bradley University
