Date	Opponent	Result	Score	Record	Streak
Fri, Oct 12, 1979	@ San Diego Clippers	Win	103–102	1–0	Won 1
Tue, Oct 16, 1979	Chicago Bulls	Win	105–96	2–0	Won 2
Wed, Oct 17, 1979	@ Seattle SuperSonics	Loss	110–112	2–1	Lost 1
Fri, Oct 19, 1979	Portland Trail Blazers	Loss	82–99	2–2	Lost 2
Sun, Oct 21, 1979	Seattle SuperSonics	Win	106–97	3–2	Won 1
Tue, Oct 23, 1979	Utah Jazz	Win	102–87	4–2	Won 2
Fri, Oct 26, 1979	Kansas City Kings	Win	116–104	5–2	Won 3
Sun, Oct 28, 1979	Golden State Warriors	Win	97–90	6–2	Won 4
Tue, Oct 30, 1979	@ Chicago Bulls	Win	111–105	7–2	Won 5
Wed, Oct 31, 1979	@ Milwaukee Bucks	Loss	106–110	7–3	Lost 1
