Place	Player	Country	Score	To par	Money ( £ )
1	Ben Curtis	United States	72-72-70-69=283	−1	700,000
T2	Thomas Bjørn	Denmark	73-70-69-72=284	E	345,000
T2	Vijay Singh	Fiji	75-70-69-70=284	E	345,000
T4	Davis Love III	United States	69-72-72-72=285	+1	185,000
T4	Tiger Woods	United States	73-72-69-71=285	+1	185,000
T6	Brian Davis	England	77-73-68-68=286	+2	134,500
T6	Fredrik Jacobson	Sweden	70-76-70-70=286	+2	134,500
T8	Nick Faldo	England	76-74-67-70=287	+3	155,383
T8	Kenny Perry	United States	74-70-70-73=287	+3	155,383
T10	Gary Evans	England	71-75-70-72=288	+4	97,750
T10	Sergio García	Spain	73-71-70-74=288	+4	97,750
T10	Retief Goosen	South Africa	73-75-71-69=288	+4	97,750
T10	Hennie Otto	South Africa	68-76-75-69=288	+4	97,750
T10	Phillip Price	Wales	74-72-69-73=288	+4	97,750
