Draw	Artist	Song	Televote	Points	Professional Jury	TRM Committee	Total	Place
1	Liusia Znamensky	"Don't deceive my heart"	410	0	3	2	5	11
2	Elena Dermidjean	"Living creatures"	1350	7	5	10	22	5
3	Scroom	"Jane"	458	0	1	4	5	12
4	Galina Scoda	"Your own vision"	1329	6	6	12	24	4
5	Dana Marchitan	"Your name"	1223	5	4	3	12	8
6	Jay Mon	"Point of view"	773	2	2	6	10	9
7	Catrina Pislaru	"Dance with me"	644	1	7	5	13	7
8	Cristina Rujitcaia	"You make me feel crazy"	829	3	3	2	8	10
9	Geta Burlacu	" A Century of Love "	4293	10	12	8	30	1
10	Edict	"I believe"	1124	4	6	7	17	6
11	Alexa	"We are one"	7665	12	8	7	27	3
