Date	Tournament	Location	Purse ( $ )	Winner	Score	1st Prize ( $ )
Jan 25	Mitsubishi Electric Championship at Hualalai	Hawaii	1800000	Bernhard Langer (5)	198 (-18)	315,000
Feb 15	Allianz Championship	Florida	1700000	Mike Goodes (1)	201 (-15)	255,000
Feb 22	The ACE Group Classic	Florida	1600000	Loren Roberts (9)	209 (-7)	240,000
Mar 8	Toshiba Classic	California	1700000	Eduardo Romero (5)	202 (-11)	255,000
Mar 15	AT&T Champions Classic	California	1600000	Dan Forsman (1)	205 (-11)	240,000
Mar 29	Cap Cana Championship	Dominican Republic	2100000	Keith Fergus (2)	203 (-13)	315,000
Apr 19	Outback Steakhouse Pro-Am	Florida	1700000	Nick Price (1)	204 (-9)	255,000
Apr 26	Liberty Mutual Legends of Golf	Georgia	2600000	Bernhard Langer (6) & Tom Lehman (1)	189 (-27)	225,000 (each)
May 17	Regions Charity Classic	Alabama	1700000	Keith Fergus (3)	132 (-12)	255,000
May 24	Senior PGA Championship	Ohio	2000000	Michael Allen (1)	274 (-6)	360,000
May 31	Principal Charity Classic	Iowa	1725000	Mark McNulty (7)	203 (-10)	258,750
Jun 7	Triton Financial Classic	Texas	1600000	Bernhard Langer (7)	201 (-15)	240,000
Jun 28	Dick's Sporting Goods Open	New York	1650000	Lonnie Nielsen (2)	195 (-21)	247,500
Jul 12	3M Championship	Minnesota	1750000	Bernhard Langer (8)	200 (-16)	262,500
Jul 26	Senior British Open	England	2000000	Loren Roberts (10)	268 (-12)	315,600
Aug 2	U.S. Senior Open	Indiana	2600000	Fred Funk (5)	268 (-20)	470,000
Aug 23	JELD-WEN Tradition	Oregon	2700000	Mike Reid (2)	272 (-16)	392,000
Aug 30	Boeing Classic	Washington	1800000	Loren Roberts (11)	198 (-18)	270,000
Sep 6	Walmart First Tee Open at Pebble Beach	California	2100000	Jeff Sluman (3)	206 (-10)	315,000
Sep 20	Greater Hickory Classic at Rock Barn	North Carolina	1750000	Jay Haas (13)	198 (-18)	262,500
Sep 27	SAS Championship	North Carolina	2100000	Tom Pernice, Jr. (1)	203 (-13)	315,000
Oct 4	Constellation Energy Senior Players Championship	Maryland	2700000	Jay Haas (14)	267 (-13)	405,000
Oct 18	Administaff Small Business Classic	Texas	1700000	John Cook (3)	205 (-11)	255,000
Oct 25	AT&T Championship	Texas	1700000	Phil Blackmar (1)	203 (-10)	255,000
