Model	Release date	Sensor res., size	Lens(35mmequiv.) zoom, aperture	Screen size,pixels	Dimensions W×H×D (mm)	Weight
P1	Sep 1, 2005	8.0 MP 3264×2448 1/1.8"	36–126mm (3.5×) f /2.7–5.2	2.5" 110,000	91×60×39	170 g (w/out batt.)
P2	Sep 1, 2005	5.0 MP 2592×1944 1/1.8"	36–126mm (3.5×) f /2.7–5.2	2.5" 110,000	91×60×39	170 g (w/out batt.)
P3	Feb 21, 2006	8.1 MP 3264×2448 1/1.8"	36–126mm (3.5×) f /2.7–5.3	2.5" 110,000	92×61×31	170 g (w/out batt.)
P4	Feb 21, 2006	8.1 MP 3264×2448 1/1.8"	36–126mm (3.5×) f /2.7–5.3	2.5" 110,000	92×61×31	170 g (w/out batt.)
P50	Aug 30, 2007	8.1 MP 3264×2448 1/2.5"	28–102mm (3.6×) f /2.8–5.6	2.4" 115,000	94.5×66×44	160 g (w/out batt.)
P60	Jan 29, 2008	8.1 MP 3264×2448 1/2.5"	36–180mm (5×) f /3.6–4.5	2.5" 153,000	95.5×63.5×36	160 g (w/out batt.)
P80	Apr 10, 2008	10.1 MP 3648×2736 1/2.33"	27–486mm (18×) f /2.8–4.5	2.7" 230,000	110×79×78	365 g (w/out batt.)
P90	Feb 3, 2009	12.1 MP 4000×3000 1/2.33"	26–624mm (24×) f /2.8–5	3" 230,000	114×83×99	460 g (w/out batt.)
P100	Feb 3, 2010	10.3 MP 3648×2736 1/2.3"	26–678mm (26×) f /2.8–5	3" 460,000	114.4×82.7×98.6	481 g (w/batt.)
P300	Feb 9, 2011	12.2 MP 4000×3000 1/2.3"	24–100mm (4.2×) f /1.8–4.9	3" 921,000	103×58.3×32	189 g (w/batt.)
P500	Feb 9, 2011	12.1 MP 4000×3000 1/2.3"	22.5–810mm (36×) f /3.4–5.7	3" 921,000	115.5×83.7×102.5	494 g (w/batt.)
P5000	Feb 20, 2007	10.0 MP 3648×2736 1/1.8"	36–126mm (3.5×) f /2.7–5.3	2.5" 230,000	98×64.5×41	200 g (w/out batt.)
P5100	Aug 30, 2007	12.1 MP 4000×3000 1/1.72"	35–123mm (3.5×) f /2.7–5.3	2.5" 230,000	98×64.5×41	200 g (w/out batt.)
P6000	Aug 7, 2008	13.5 MP 4224×3168 1/1.7"	28–112mm (4×) f /2.7–5.9	2.7" 230,000	107×65.5×42	240 g (w/out batt.)
P7000	Sep 8, 2010	10.2 MP 3264×2448 1/1.7"	28–200mm (7.1×) f /2.8–5.6	3" 921,000	114.2×77×44.8	360 g (w/batt.)
P7100	Aug 26, 2011	10.1 MP 3648×2736 1/1.7"	28–200mm (7.1×) f /2.8–5.6	3" 921,000	116×77×48	395 g (w/batt.)
