Index	Organization	Year	Rank	Out of
Bribe Payers Index	Transparency International	2011	19	28
Corruption Perceptions Index	Transparency International	2012	37	176
Democracy Index	Economist Intelligence Unit	2010	36	167
Ease of Doing Business Index	World Bank	2012	16	185
Economic Freedom Index	Fraser Institute	2010	15	144
Economic Freedom Index	The Heritage Foundation	2013	20	177
Global Competitiveness Report	World Economic Forum	2012–2013	13	144
Global Peace Index	Institute for Economics and Peace	2011	27	153
Globalization Index	A.T. Kearney / Foreign Policy Magazine	2006	35	62
Press Freedom Index	Reporters Without Borders	2013	47	179
Property Rights Index	Property Rights Alliance	2008	28	115
