Rank	Name	Nation	Points	Places
1	Liudmila Belousova / Oleg Protopopov	Soviet Union	104.4	13
2	Marika Kilius / Hans-Jürgen Bäumler	Germany	103.6	15
3	Debbi Wilkes / Guy Revell	Canada	98.5	35.5
4	Vivian Joseph / Ronald Joseph	United States	89.2	35.5
5	Tatiana Zhuk / Alexander Gavrilov	Soviet Union	96.6	45
6	Gerda Johner / Rüdi Johner	Switzerland	95.4	56
7	Judianne Fotheringill / Jerry Fotheringill	United States	94.7	69.5
8	Cynthia Kauffman / Ronald Kauffman	United States	92.8	74
9	Agnesa Wlachovská / Peter Bartosiewicz	Czechoslovakia	91.8	84
10	Milada Kubikova / Jaroslav Votruba	Czechoslovakia	88.9	97
11	Brigitte Wokoeck / Heinz-Ulrich Walther	Germany	88.8	103.5
12	Gerlinde Schönbauer / Wilhelm Bietak	Austria	87.7	108
13	Margit Senf / Peter Göbel	Germany	87.9	113.5
14	Faye Strutt / Jim Watters	Canada	85.3	122.5
15	Ingeborg Strell / Fery Dedovich	Austria	83.6	129
16	Linda Ann Ward / Neil Carpenter	Canada	84.2	128.5
17	Monique Mathys / Yves Ällig	Switzerland	81.5	147.5
