Year (Ceremony)	Film title used in nomination	Original title	Language(s)	Result
1967 (40th)	Le Départ	Le Départ	French	Not Nominated
1969 (42nd)	Palaver	Palaver	Dutch	Not Nominated
1970 (43rd)	Peace in the Fields	Paix sur les champs	French	Nominee
1972 (45th)	The Lonely Killers	Les Tueurs Fous	French	Not Nominated
1974 (47th)	The Conscript	De loteling	Dutch	Not Nominated
1976 (49th)	High Street	Rue Haute	French	Not Nominated
1977 (50th)	Rubens	Rubens, schilder en diplomaat	Dutch	Not Nominated
1979 (52nd)	Woman in a Twilight Garden	Een vrouw tussen hond en wolf	Dutch	Not Nominated
1981 (54th)	Le Grand Paysage d'Alexis Droeven	Le Grand paysage d'Alexis Droeven	French	Not Nominated
1982 (55th)	Minuet	Menuet	Dutch	Not Nominated
1985 (58th)	Dust	Dust	English	Not Nominated
1986 (59th)	Jumping	Springen	Dutch	Not Nominated
1987 (60th)	The Cruel Embrace	Les noces barbares	French	Not Nominated
1988 (61st)	The Music Teacher	Le maître de musique	French	Nominee
1989 (62nd)	The Sacrament	Het Sacrament	Dutch	Not Nominated
1991 (64th)	Toto the Hero	Toto le héros	French	Not Nominated
1992 (65th)	Daens	Daens	Dutch , French	Nominee
1993 (66th)	Just Friends	Just Friends	Dutch , French	Not Nominated
1994 (67th)	Farinelli	Farinelli Il Castrato	French , Italian	Nominee
1995 (68th)	Manneken Pis	Manneken Pis	Dutch	Not Nominated
1996 (69th)	The Eighth Day	Le huitième jour	French	Not Nominated
1997 (70th)	My Life in Pink	Ma vie en rose	French	Not Nominated
1998 (71st)	Rosie	Rosie	Dutch	Not Nominated
1999 (72nd)	Rosetta	Rosetta	French	Not Nominated
2000 (73rd)	Everybody's Famous!	Iedereen beroemd!	Dutch , English	Nominee
2001 (74th)	Pauline & Paulette	Pauline & Paulette	Dutch	Not Nominated
2002 (75th)	The Son	Le fils	French	Not Nominated
2003 (76th)	Sea of Silence	Verder dan de maan	Dutch	Not Nominated
2004 (77th)	The Alzheimer Case	De zaak alzheimer	Dutch	Not Nominated
2005 (78th)	The Child	L'enfant	French	Not Nominated
2006 (79th)	Someone Else's Happiness	Een ander zijn geluk	Dutch	Not Nominated
2007 (80th)	Ben X	Ben X	Flemish [ citation needed ]	Not Nominated
2008 (81st)	Eldorado	Eldorado	French	Not Nominated
2009 (82nd)	The Misfortunates	De Helaasheid der Dingen	Dutch	Not Nominated
2010 (83rd)	Illegal	Illègal	French	Not Nominated
2011 (84th)	Bullhead	Rundskop	Flemish	Nominee
2012 (85th)	Our Children	À perdre la raison	French	Not Nominated
2013 (86th)	The Broken Circle Breakdown	The Broken Circle Breakdown	Flemish	TBD
