Week	Date	Opponent	Result	Attendance
1	September 11, 1965	at Buffalo Bills	L 24-7	45,502
2	September 19, 1965	at Houston Oilers	L 31-10	32,445
3	September 24, 1965	Denver Broncos	L 27-10	26,782
4	October 3, 1965	at Kansas City Chiefs	L 27-17	26,773
5	October 8, 1965	Oakland Raiders	L 24-10	24,824
6	October 17, 1965	San Diego Chargers	T 13-13	20,924
7	October 24, 1965	at Oakland Raiders	L 30-21	20,858
8	October 31, 1965	at San Diego Chargers	W 22–6	33,366
9	November 7, 1965	Buffalo Bills	L 23-7	24,415
10	November 14, 1965	New York Jets	L 30-20	18,589
11	November 21, 1965	Kansas City Chiefs	T 10-10	13,056
12	November 28, 1965	at New York Jets	W 27-23	59,334
13	Bye	Bye	Bye	Bye
14	December 12, 1965	at Denver Broncos	W 28-20	27,207
15	December 18, 1965	Houston Oilers	W 42–14	14,508
