Rnd	Circuit	LMP1 Winning Team	LMP2 Winning Team	GT2 Winning Team	Challenge Winning Team	Results
1	Sebring	#2 Audi Sport Team Joest	#15 Fernández Racing	#62 Risi Competizione	Did Not Participate	Results
1	Sebring	Tom Kristensen Allan McNish Rinaldo Capello	Adrian Fernández Luis Díaz	Jaime Melo Pierre Kaffer Mika Salo	Did Not Participate	Results
2	St. Petersburg	#9 Highcroft Racing	#15 Fernández Racing	#45 Flying Lizard Motorsports	Did Not Participate	Results
2	St. Petersburg	David Brabham Scott Sharp	Adrian Fernández Luis Díaz	Patrick Long Jörg Bergmeister	Did Not Participate	Results
3	Long Beach	#66 de Ferran Motorsports	#15 Fernández Racing	#45 Flying Lizard Motorsports	Did Not Participate	Results
3	Long Beach	Gil de Ferran Simon Pagenaud	Adrian Fernández Luis Díaz	Patrick Long Jörg Bergmeister	Did Not Participate	Results
4	Miller	#66 de Ferran Motorsports	#15 Fernández Racing	#45 Flying Lizard Motorsports	#57 Snow Racing	Results
4	Miller	Gil de Ferran Simon Pagenaud	Adrian Fernández Luis Díaz	Patrick Long Jörg Bergmeister	Martin Snow Melanie Snow	Results
5	Lime Rock	#66 de Ferran Motorsports	#20 Dyson Racing Team	#45 Flying Lizard Motorsports	#36 Gruppe Orange	Results
5	Lime Rock	Gil de Ferran Simon Pagenaud	Butch Leitzinger Marino Franchitti	Patrick Long Jörg Bergmeister	Wesley Hoaglund Bob Faieta	Results
6	Mid-Ohio	#66 de Ferran Motorsports	#15 Fernández Racing	#45 Flying Lizard Motorsports	#57 Snow Racing	Results
6	Mid-Ohio	Gil de Ferran Simon Pagenaud	Adrian Fernández Luis Díaz	Patrick Long Jörg Bergmeister	Martin Snow Melanie Snow	Results
7	Road America	#9 Highcroft Racing	#15 Fernández Racing	#90 BMW Rahal Letterman	#57 Snow Racing	Results
7	Road America	David Brabham Scott Sharp	Adrian Fernández Luis Díaz	Joey Hand Bill Auberlen	Martin Snow Melanie Snow	Results
8	Mosport	#9 Highcroft Racing	#15 Fernández Racing	#3 Corvette Racing	Did Not Participate	Results
8	Mosport	David Brabham Scott Sharp	Adrian Fernández Luis Díaz	Johnny O'Connell Jan Magnussen	Did Not Participate	Results
9	Road Atlanta	#08 Team Peugeot Total	#20 Dyson Racing Team	#62 Risi Competizione	Did Not Participate	Results
9	Road Atlanta	Franck Montagny Stéphane Sarrazin	Butch Leitzinger Marino Franchitti Ben Devlin	Jaime Melo Pierre Kaffer Mika Salo	Did Not Participate	Results
10	Laguna Seca	#66 de Ferran Motorsports	#15 Fernández Racing	#45 Flying Lizard Motorsports	#47 Orbit Racing	Results
