Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Colne Dynamoes	34	5	4	95	37	+58	55
2	Warrington Town	34	6	4	83	33	+50	54
3	Clitheroe	34	7	5	87	35	+52	51
4	Prestwich Heys	34	11	5	70	37	+33	47
5	Vulcan Newton	34	10	11	70	65	+5	36
6	Blackpool Mechanics	34	13	10	67	56	+11	35
7	Bacup Borough	34	7	13	53	45	+8	35
8	Atherton Collieries	34	11	11	55	57	−2	35
9	Whitworth Valley	34	9	12	54	65	−11	35
10	Nelson	34	16	11	49	56	−7	28
11	Daisy Hill	34	10	14	47	58	−11	30
12	Maghull	34	9	15	56	61	−5	29
13	Ashton Town	34	5	17	53	73	−20	29
14	Newton	34	12	14	59	62	−3	28
15	Oldham Dew	34	8	16	48	61	−13	28
16	Bolton ST	34	6	19	50	84	−34	24
17	Wigan Rovers	34	7	22	35	72	−37	17
18	Ashton Athletic	34	8	23	18	92	−74	14
