Date	Opponent	Venue	Result	Attendance
10 August 1991	St. Johnstone	H	6–0	35,109
13 August 1991	Motherwell	H	2–0	35,323
17 August 1991	Heart of Midlothian	A	0–1	22,534
24 August 1991	Dunfermline Athletic	H	4–0	35,559
31 August 1991	Celtic	A	2–0	51,382
7 September 1991	Falkirk	A	2–0	13,088
14 September 1991	Dundee United	H	1–1	36,347
21 September 1991	St. Mirren	A	2–1	14,503
28 September 1991	Aberdeen	H	0–2	36,330
5 October 1991	Airdrieonians	A	4–0	11,101
8 October 1991	Hibernian	H	4–2	35,368
12 October 1991	St. Johnstone	A	3–2	10,323
19 October 1991	Heart of Midlothian	H	2–0	36,481
26 October 1991	Falkirk	H	1–1	36,441
29 October 1991	Dundee United	A	2–3	15,041
2 November 1991	Celtic	H	1–1	37,387
9 November 1991	Dunfermline Athletic	A	5–0	13,351
16 November 1991	Airdrieonians	H	4–0	36,934
19 November 1991	Hibernian	A	3–0	16,833
23 November 1991	St. Mirren	H	0–1	36,272
30 November 1991	Motherwell	A	2–0	15,350
4 December 1991	Aberdeen	A	3–2	20,081
7 December 1991	St. Johnstone	H	3–1	35,784
14 December 1991	Falkirk	A	3–1	11,801
21 December 1991	Dundee United	H	2–0	41,448
28 December 1991	Dunfermline Athletic	H	2–1	41,328
1 January 1992	Celtic	A	3–1	51,789
4 January 1992	Airdrieonians	A	0–0	12,276
11 January 1992	Hibernian	H	2–0	40,616
18 January 1992	Motherwell	H	2–0	38,217
1 February 1992	Heart of Midlothian	A	1–0	24,356
8 February 1992	St. Mirren	A	2–1	16,638
25 February 1992	Aberdeen	H	0–0	38,513
29 February 1992	Airdrieonians	H	5–0	40,568
10 March 1992	Hibernian	A	3–1	13,387
14 March 1992	Dunfermline Athletic	A	3–1	12,274
21 March 1992	Celtic	H	0–2	42,160
28 March 1992	St. Johnstone	A	2–1	9,697
7 April 1992	Falkirk	H	4–1	36,832
11 April 1992	Dundee United	A	2–1	11,713
18 April 1992	St. Mirren	H	4–0	40,362
23 April 1992	Motherwell	A	2–1	12,515
28 April 1992	Heart of Midlothian	H	1–1	36,129
2 May 1992	Aberdeen	A	2–0	16,580
