Team	Location	Venue	Capacity	Position in 2001
Belshina	Bobruisk	Spartak, Bobruisk	3,550	1
Dinamo Minsk	Minsk	Dinamo, Minsk	41,040	2
BATE	Borisov	City Stadium, Borisov	5,500	3
Neman	Grodno	Neman	6,300	4
Shakhtyor	Soligorsk	Stroitel	5,000	5
Gomel	Gomel	Central, Gomel	11,800	6
Slavia	Mozyr	Yunost	5,500	7
Torpedo-MAZ	Minsk	Torpedo, Minsk	5,200	8
Dnepr-Transmash	Mogilev	Spartak, Mogilev	11,200	9
Molodechno-2000	Molodechno	City Stadium, Molodechno	5,500	10
Dinamo Brest	Brest	OSK Brestskiy	10,080	11
Lokomotiv-96	Vitebsk	Central, Vitebsk	8,300	12
Torpedo	Zhodino	Torpedo, Zhodino	3,020	First league , 1
Zvezda-VA-BGU	Minsk	Traktor	17,600	First league , 2
