Date	Venue	Opponents	Score	Competition
December 22, 2006	Tuanku Abdul Rahman Stadium, Paroi	Plus FC	2-1	PL
January 2, 2007	KLFA Stadium, Cheras	Sabah	1-0	PL
January 5, 2007	Tan Sri Haji Hassan Yunus Stadium, Larkin	Johor	0-0	PL
January 9, 2007	KLFA Stadium, Cheras	Police	1-2	PL
February 6, 2007	KLFA Stadium, Cheras	Johor FC	1-2	FA Cup Rd 1
February 10, 2007	KLFA Stadium, Cheras	Johor FC	1-1	MC Group A
February 13, 2007	KLFA Stadium, Cheras	Shahzan Muda-Kuantan Port	0-0	PL
February 17, 2007	Shah Alam Stadium	Selangor	1-2	MC Group A
February 24, 2007	MBPJ Stadium, Petaling Jaya	TMFC	1-2	MC Group A
March 3, 2007	KLFA Stadium, Cheras	Perlis	2-2	MC Group A
March 6, 2007	Shah Alam Stadium	UPB FC-MyTeam	0-4	PL
March 9, 2007	MBPJ Stadium, Petaling Jaya	PKNS	0-2	PL
March 17, 2007	Tan Sri Haji Hassan Yunus Stadium, Larkin	Johor	2-3	MC Group A
March 30, 2007	Darulaman Stadium, Alor Star	Kuala Muda	2-1	PL
April 3, 2007	KLFA Stadium, Cheras	Kelantan	1-2	PL
April 6, 2007	Selayang Municipal Council Stadium	Armed Forces	0-0	PL
April 10, 2007	KLFA Stadium, Cheras	Armed Forces	3-1	PL
April 14, 2007	Tan Sri Haji Hassan Yunus Stadium, Larkin	Johor FC	3-1	MC Group A
April 17, 2007	KLFA Stadium, Cheras	Kuala Muda	3-1	PL
April 21, 2007	KLFA Stadium, Cheras	Selangor	3-1	MC Group A
April 24, 2007	Likas Stadium, Kota Kinabalu	Sabah	0-2	PL
April 28, 2007	KLFA Stadium, Cheras	TMFC	3-3	MC Group A
May 1, 2007	KLFA Stadium, Cheras	Johor	2-1	PL
May 5, 2007	Utama Stadium, Kangar	Perlis	2-1	MC Group A
May 11, 2007	Selayang Municipal Council Stadium	Police	1-2	PL
May 18, 2007	KLFA Stadium, Cheras	UPB FC-MyTeam	2-2	PL
May 22, 2007	Darulmakmur Stadium, Kuantan	Shahzan Muda-Kuantan Port	1-2	PL
May 26, 2007	KLFA Stadium, Cheras	Johor	1-1	MC Group A
June 1, 2007	KLFA Stadium, Cheras	PKNS	2-3	PL
June 12, 2007	Sultan Muhd IV Stadium, Kota Baru	Kelantan	1-1	PL
June 26, 2007	KLFA Stadium, Cheras	Plus FC	1-1	PL
