Locale	Skip	W	L	PF	PA	Ends Won	Ends Lost	Blank Ends	Stolen Ends	Shot Pct.
Prince Edward Island	Suzanne Gaudet	10	1	89	61	50	42	10	13	80
Canada	Colleen Jones	8	3	81	60	49	41	14	10	79
Saskatchewan	Jan Betker	7	4	75	59	43	47	13	9	79
Newfoundland and Labrador	Cathy Cunningham	6	5	69	74	46	48	11	7	75
New Brunswick	Heidi Hanlon	5	6	70	80	48	49	9	8	74
Alberta	Deb Santos	5	6	74	73	47	46	8	12	78
Nova Scotia	Nancy McConnery	5	6	74	79	45	51	7	6	73
Quebec	Nathalie Gagnon	5	6	66	75	45	50	10	10	71
Ontario	Anne Dunn	5	6	67	66	48	47	8	14	75
British Columbia	Toni Fister	4	7	62	75	42	50	10	9	73
Manitoba	Barb Spencer	4	7	72	71	46	47	9	11	73
