Round	Pick #	Overall	Name	Position	College
1	15	15	Clarence Ellis	Safety	Notre Dame
2	14	40	Pat Sullivan	Quarterback	Auburn
2	15	41	Steve Okoniewski	Offensive Tackle	Montana
2	16	42	Roosevelt Manning	Defensive Tackle	Northeastern State Normal School (OK)
3	15	67	Les Goodman	Running Back	Yankton
4	16	94	Andrew Howard	Defensive Tackle	Grambling
5	5	109	Billy Taylor	Running Back	Michigan
5	15	119	Ralph Cindrich	Linebacker	Pittsburgh
6	10	140	Mike Perfetti	Defensive Back	Minnesota
6	16	146	Fred Riley	Wide Receiver	Idaho
7	15	171	Lance Moon	Running Back	Wisconsin
8	16	198	Henry Brandon	Running Back	Southern
9	15	223	Ray Easterling	Safety	Richmond
11	15	275	Jack Phillips	Wide Receiver	Grambling
12	16	302	Larry Mialik	Tight End	Wisconsin
13	15	327	Henry Sovio	Tight End	Hawaii
14	16	354	Tom Chandler	Linebacker	Minnesota
15	15	379	Oscar Jenkins	Defensive Back	Virginia Union
16	16	406	Larry Butler	Linebacker	Stanford
