Nat.	Name	Since	App(GS/Sub)	Goals	Ends	Transfer fee
USA	Brad Friedel	2008	16 (16/0)	0	2011	£2.5m
ENG	Stuart Taylor	2005	17 (14/3)	0	2009	Undisclosed
USA	Brad Guzan	2008	2 (2/0)	0	2011	£0.6m
ENG	Luke Young	2008	14 (13/1)	1	2011	£6m
NED	Wilfred Bouma	2005	90 (87/3)	1	2011	£3.5m
DEN	Martin Laursen	2004	83 (81/2)	11	2010	£3m
ENG	Curtis Davies	2008	27 (22/5)	1	2012	Undisclosed
ENG	Zat Knight	2007	34 (32/2)	1	2011	£3.5m
ENG	Nicky Shorey	2008	16 (16/0)	0	2011	Undisclosed
ESP	Carlos Cuéllar	2008	12 (9/3)	0	2012	£7.8m
IRL	Stephen O'Halloran	2008	0 (0/0)	0	2009	Academy
ENG	Steve Sidwell	2008	6 (3/3)	1	2011	Undisclosed
ENG	Gareth Barry	1997	410 (393/17)	49	2010	Undisclosed
ENG	Ashley Young	2007	70 (67/3)	14	2011	£9.6m
ENG	James Milner	2008	45 (40/5)	3	2012	£12m
TOG	Moustapha Salifou	2007	9 (3/6)	0	2009	Undisclosed
BUL	Stiliyan Petrov	2006	82 (75/7)	4	2010	£6.5m
ENG	Nigel Reo-Coker	2007	56 (56/0)	3	2011	£8.5m
ENG	Craig Gardner	2005	58 (37/21)	6	2011	Academy
ENG	Isaiah Osbourne	2006	26 (13/13)	0	2011	Academy
ENG	Marlon Harewood	2006	34 (7/27)	7	2010	£4m
NOR	John Carew	2007	59 (57/2)	23	2010	Part-Exchange
ENG	Gabriel Agbonlahor	2006	110 (102/8)	29	2011	Academy
ENG	Nathan Delfouneso	2008	3 (0/3)	0	2010	Academy
ENG	Emile Heskey	2009	3 (3/0)	1	2012	£3.5m
