Place	Player	Country	Score	To par
1	Greg Norman	Australia	70-70-72=212	+2
T2	K. J. Choi	South Korea	72-67-75=214	+4
T2	Pádraig Harrington	Ireland	74-68-72=214	+4
4	Simon Wakefield	England	71-74-70=215	+5
T5	Ben Curtis	United States	78-69-70=217	+7
T5	Ross Fisher	England	72-74-71=217	+7
T5	Anthony Kim	United States	72-74-71=217	+7
T5	Alexander Norén	Sweden	72-70-75=217	+7
T9	Robert Allenby	Australia	69-73-76=218	+8
T9	Rocco Mediate	United States	69-73-76=218	+8
T9	Ian Poulter	England	72-71-75=218	+8
T9	Henrik Stenson	Sweden	76-72-70=218	+8
T9	Graeme Storm	England	76-70-72=218	+8
T9	Chris Wood (a)	England	75-70-73=218	+8
