Year	Date	Home	Score	Away	Venue
2002	6 April	Georgia	23 - 31	Romania	Tbilisi
2003	30 March	Georgia	6 - 19	Romania	Tbilisi
2004	27 May	Romania	25 - 18	Georgia	Iaşi
2005	12 March	Georgia	20 - 13	Romania	Tbilisi
2006	25 February	Romania	35 - 10	Georgia	Bucharest
2007	3 February	Romania	17 - 20	Georgia	Bucharest
2008	9 February	Georgia	22 - 7	Romania	Tbilisi
2009	14 March	Georgia	28 - 23	Romania	Tbilisi
2010	13 March	Romania	22-10	Georgia	Bucharest
2011	12 March	Georgia	18-11	Romania	Tbilisi
2012	10 March	Romania	13-19	Georgia	Bucharest
2013	16 March	Romania	9-9	Georgia	Bucharest
