Country / territory	Area (km²)	Population	Pop. density (/km²)	GDP millions of USD (2009)	GDP per capita USD (2009-2011)	Capital
American Samoa	199	55519	326	537	7874	Pago Pago
Australia	7617930	23154782	3	1515468	41500	Canberra
Brunei	5765	407000	70	14700	36700	Bandar Seri Begawan
Cambodia	181035	14805000	82	10900	800	Phnom Penh
China	9671018	1339530000	138	7203784	6076	Beijing
Hong Kong	1104	7055071	6390	210730	30000	Hong Kong
Indonesia	1904569	237556363	126	514900	2200	Jakarta
Japan	377944	127470000	337	5870357	39700	Tokyo
North Korea	120540	23906000	198	27820	1200	Pyongyang
South Korea	100140	50062000	500	800300	20000	Seoul
Laos	236800	6320000	27	5721	900	Vientiane
Macau	29	541200	18662	36428	39800	Macau
Malaysia	329847	28318000	86	191399	7525	Kuala Lumpur
Mongolia	1564116	2736800	2	4212	1500	Ulan Bator
Burma	676578	50496000	74	26820	500	Naypyidaw
New Zealand	268021	4357437	16	109600	25500	Wellington
Papua New Guinea	462840	6732000	15	8200	1200	Port Moresby
Philippines	299764	91983000	307	158700	1700	Manila
Singapore	710	5183700	7023	177133	35500	City of Singapore
Taiwan	36191	23119772	639	466054	20328	Taipei
Thailand	513120	67764000	132	263510	3900	Bangkok
Timor-Leste	14874	1171000	76	599	500	Dili
