Game	Date	Team	Score	High points	Location Attendance	Record
2	November 2	@ Phoenix	W 119–98 (OT)	Vladimir Radmanović (19)	US Airways Center 18,422	1-1
3	November 4	Utah	W 119–109 (OT)	Kobe Bryant (33)	Staples Center 18,997	2-1
4	November 6	New Orleans	L 104–118 (OT)	Kobe Bryant (28)	Staples Center 18,997	2-2
5	November 9	Minnesota	W 107–93 (OT)	Kobe Bryant (30)	Staples Center 18,997	3-2
6	November 13	@ San Antonio	L 92–107 (OT)	Kobe Bryant (18)	AT&T Center 18,797	3-3
7	November 14	@ Houston	W 93–90 (OT)	Kobe Bryant (30)	Toyota Center 18,178	4-3
8	November 16	Detroit	W 103–91 (OT)	Lamar Odom (25)	Staples Center 18,997	5-3
9	November 18	Chicago	W 106–78 (OT)	Kobe Bryant (18)	Staples Center 18,997	6-3
10	November 20	@ Indiana	W 134–114 (OT)	Kobe Bryant (32)	Conseco Fieldhouse 11,577	7-3
11	November 21	@ Milwaukee	L 103–110 (OT)	Kobe Bryant (27)	BMO Harris Bradley Center 17,526	7-4
12	November 23	@ Boston	L 94–107 (OT)	Kobe Bryant (28)	TD Banknorth Garden 18,624	7-5
13	November 25	New Jersey	L 100–102 (OT)	Kobe Bryant (31)	Staples Center 18,997	7-6
14	November 27	Seattle	W 106–99 (OT)	Kobe Bryant (35)	Staples Center 18,997	8-6
15	November 29	Denver	W 127–99 (OT)	Kobe Bryant (24)	Staples Center 18,997	9-6
16	November 30	@ Utah	L 96–120 (OT)	Kobe Bryant (28)	EnergySolutions Arena 19,911	9-7
