Heat	Lane	Name	Country	Mark
1	4	Kim Gevaert	Belgium	7.31
1	6	Laura Turner	United Kingdom	7.34
1	2	Svetlana Nabokina	Russia	7.38
1	5	Inna Eftimova	Bulgaria	7.50
1	7	Ruddy Zang Milama	Gabon	7.66
1	3	Fabienne Weyermann	Switzerland	7.67
1	8	Maki Samantha Lockington	Cook Islands	8.69 PB
2	4	Ene Franca Idoko	Nigeria	7.19
2	5	LaVerne Jones-Ferrette	United States Virgin Islands	7.23 SB
2	2	Virgen Benavides	Cuba	7.29
2	3	Ailis McSweeney	Ireland	7.43
2	6	Lina Grincikaité	Lithuania	7.45
2	7	Affoué Amandine Allou	Ivory Coast	7.57 SB
2	8	Martina Pretelli	San Marino	8.54
3	7	Guzel Khubbieva	Uzbekistan	7.24 SB
3	6	Yevgeniya Polyakova	Russia	7.25
3	4	Verena Sailer	Germany	7.37
3	5	Bettina Müller-Weissina	Austria	7.37
3	8	Alexis Joyce	United States	7.50
3	3	Nina Kovacic	Slovenia	7.57
3	2	Valentina Nazarova	Turkmenistan	7.72 NR
4	2	Tahesia Harrigan	British Virgin Islands	7.21
4	5	Jeanette Kwakye	United Kingdom	7.33
4	7	Ivet Lalova	Bulgaria	7.36
4	8	Lena Berntsson	Sweden	7.45
4	6	Feta Ahamada	Comoros	7.71
4	1	Rosa Mystique Jone	Nauru	8.09 PB
4	4	Hawwa Haneefa	Maldives	8.42 PB
4	3	Nongnuch Sanrat	Thailand	DNS
5	3	Angela Williams	United States	7.29
5	4	Oludamola Osayomi	Nigeria	7.35
5	5	Delphine Atangana	Cameroon	7.37
5	7	Vida Anim	Ghana	7.37
5	8	Ezinne Okparaebo	Norway	7.42
5	2	Lucimar Aparecida de Moura	Brazil	7.64
5	6	Amando Choo	Singapore	7.74 NR
