Number	Name	Kilometer	Location	Length (in m)	Average climb (%)
17	Plettenbergweg	159	Eys	1000	42
18	Eyserweg	160	Eys	2200	43
19	Hulsberg	165	Simpelveld	1000	77
20	Vrakelberg	171	Voerendaal	700	79
21	Sibbergrubbe	179	Valkenburg	2100	41
22	Cauberg	184	Valkenburg	1200	58
23	Geulhemmerweg	188	Valkenburg	1000	62
24	Bemelerberg	201	Margraten	900	50
25	Wolfsberg	218	Noorbeek	800	44
26	Loorberg	224	Slenaken	1500	55
27	Gulperberg	232	Gulpen	700	81
28	Kruisberg	238	Eys	800	75
29	Eyserbosweg	240	Eys	1100	81
30	Fromberg	244	Voerendaal	1600	40
31	Keutenberg	248	Valkenburg	700	94
