Stadium	City	Capacity	Matches played	Overall attendance	Average attendance per match	Average attendance as % of Capacity	Overall goals scored	Average goals scored per match	Elevation
Cape Town Stadium	Cape Town	64100	8	507340	63418	98.9	22	2.75	0 (sea level)
Ellis Park Stadium	Johannesburg	55686	7	372843	53263	95.7	19	2.71	1753 m
Free State Stadium	Bloemfontein	40911	6	196823	32804	80.2	14	2.33	1400 m
Loftus Versfield Stadium	Pretoria	42858	6	234092	39015	91.0	11	1.83	1214 m
Mbombela Stadium	Nelspruit	40929	4	143492	35873	87.6	9	2.25	660 m
Moses Mabhida Stadium	Durban	62760	7	434631	62090	98.9	14	2.00	0 (sea level)
Nelson Mandela Bay Stadium	Port Elizabeth	42486	8	285643	35705	84.0	16	2.00	0 (sea level)
Peter Mokaba Stadium	Polokwane	41733	4	139436	34859	83.5	5	1.25	1310 m
Royal Bafokeng Stadium	Rustenburg	38646	6	193697	32283	83.5	14	2.33	1500 m
Soccer City	Johannesburg	84490	8	670809	83851	99.2	21	2.63	1753 m
