Date	Visitor	Score	Home	Leading scorer	Record
1 December 2004	76ers	72–105	Spurs	Two-way tie (24)	13–3
3 December 2004	Pistons	77–80	Spurs	Tony Parker (20)	14–3
4 December 2004	Spurs	104–83	Bucks	Tim Duncan (20)	15–3
6 December 2004	Spurs	91–75	Bulls	Tony Parker (17)	16–3
8 December 2004	SuperSonics	102–96	Spurs	Tim Duncan (39)	16–4
9 December 2004	Spurs	80–81	Rockets	Tim Duncan (26)	16–5
11 December 2004	Cavaliers	97–116	Spurs	Tim Duncan (34)	17–5
15 December 2004	Magic	91–94	Spurs	Tim Duncan (24)	18–5
17 December 2004	Spurs	83–67	Hornets	Tim Duncan (19)	19–5
18 December 2004	Warriors	85–104	Spurs	Two-way tie (21)	20–5
22 December 2004	Spurs	87–93	Magic	Tim Duncan (24)	20–6
23 December 2004	Timberwolves	79–94	Spurs	Manu Ginóbili (22)	21–6
26 December 2004	Celtics	90–107	Spurs	Tony Parker (27)	22–6
28 December 2004	Suns	94–115	Spurs	Tony Parker (29)	23–6
30 December 2004	Spurs	114–80	Trail Blazers	Tim Duncan (19)	24–6
31 December 2004	Spurs	98–79	Clippers	Tim Duncan (23)	25–6
