Game	November	Opponent	Score	Record
11	2	@ Colorado Rockies	6 - 2	4-6-1
12	4	@ Vancouver Canucks	5 - 1	5-6-1
13	5	@ Los Angeles Kings	3 - 1	5-7-1
14	9	Buffalo Sabres	8 - 4	6-7-1
15	12	@ Detroit Red Wings	3 - 1	6-8-1
16	13	Atlanta Flames	5 - 2	6-9-1
17	16	Chicago Black Hawks	5 - 2	7-9-1
18	19	@ Pittsburgh Penguins	5 - 5	7-9-2
19	20	Vancouver Canucks	3 - 0	7-10-2
20	23	Colorado Rockies	6 - 3	8-10-2
21	26	@ Boston Bruins	3 - 2	8-11-2
22	27	@ Buffalo Sabres	3 - 2	8-12-2
23	30	@ St. Louis Blues	4 - 0	9-12-2
