School	Location	Mascot	Enrollment 08-09	IHSAA Class	County	Year Joined	Previous Conference
Eastern Hancock	Charlottesville	Royals	338	A	30 Hancock	2012	Independent
Edinburgh	Edinburgh	Lancers	276	A	41 Johnson	1965	Independent
Hauser	Hope	Jets	343	AA	03 Bartholomew	1965	Dixie
Indian Creek	Trafalgar	Braves	599	AA	41 Johnson	1967	none (new school)
Knightstown	Knightstown	Panthers	397	AA	32 Henry	2013	Independent
Morristown	Morristown	Yellow Jackets	229	A	73 Shelby	1985	Big Blue River
North Decatur	Greensburg	Chargers	401	AA	16 Decatur	1980	Big Blue River
South Decatur	Greensburg	Cougars	298	A	16 Decatur	1968	none (new school)
Southwestern (Shelbyville)	Shelbyville	Spartans	229	A	73 Shelby	1965	Independent
Waldron	Waldron	Mohawks	244	A	73 Shelby	1965	Independent
