No. in series	Title	Directed by	Written by	Original airdate	Production code
1–2	"Ben 10 Returns"	Dan Riba and Butch Lukic	Dwayne McDuffie	April18,2008	101–102
3	"Everybody Talks About the Weather"	Dan Riba	Dwayne McDuffie	April26,2008	103
4	"Kevin's Big Score"	Butch Lukic	Matt Wayne	May3,2008	104
5	"All that Glitters"	Dan Riba	Bob Goodman	May10,2008	105
6	"Max Out"	Butch Lukic	Jim Krieg	May17,2008	107
7	"Pier Pressure"	Dan Riba	Len Uhley	May31,2008	106
8	"What are Little Girls Made of?"	Butch Lukic	Matt Wayne	June7,2008	109
9	"The Gauntlet"	Dan Riba	Rob Hoegee	June14,2008	110
10	"Paradox"	Butch Lukic	Jim Krieg	July5,2008	112
11	"Be-Knighted"	Dan Riba	Stan Berkowitz	July12,2008	108
12	"Plumbers' Helpers"	Dan Riba	Len Uhley	July19,2008	111
