Athlete	Sport	Type	Olympics	Gold	Silver	Bronze	Total
Cindy Klassen	Speed skating	Winter	2002 , 2006 , 2010	1	2	3	6
Clara Hughes	Cycling	Summer	1996 , 2000	0	0	2	6
Clara Hughes	Speed skating	Winter	2002 , 2006 , 2010	1	1	2	6
Marc Gagnon	Short track	Winter	1994 , 1998 , 2002	3	0	2	5
François-Louis Tremblay	Short track	Winter	2002 , 2006 , 2010	2	2	1	5
Phil Edwards	Athletics	Summer	1928 , 1932 , 1936	0	0	5	5
Lesley Thompson	Rowing	Summer	1984 , 1992 , 1996 , 2000 , 2012	1	3	1	5
Jennifer Botterill	Ice hockey	Winter	1998 , 2002 , 2006 , 2010	3	1	0	4
Jayna Hefford Category:Articles with hCards	Ice hockey	Winter	1998 , 2002 , 2006 , 2010	3	1	0	4
Becky Kellar Category:Articles with hCards	Ice hockey	Winter	1998 , 2002 , 2006 , 2010	3	1	0	4
Hayley Wickenheiser Category:Articles with hCards	Ice hockey	Winter	1998 , 2002 , 2006 , 2010	3	1	0	4
Kathleen Heddle	Rowing	Summer	1992 , 1996	3	0	1	4
Marnie McBean	Rowing	Summer	1992 , 1996	3	0	1	4
Éric Bédard	Short track	Winter	1998 , 2002 , 2006	2	1	1	4
Gaétan Boucher	Speed skating	Winter	1976 , 1980 , 1984 , 1988	2	1	1	4
Victor Davis	Swimming	Summer	1984 , 1988	1	3	0	4
Adam van Koeverden	Kayaking	Summer	2004 , 2008 , 2012	1	2	1	4
Kristina Groves	Speed skating	Winter	2002 , 2006 , 2010	0	3	1	4
Tania Vicent	Short track	Winter	1998 , 2002 , 2006 , 2010	0	2	2	4
Émilie Heymans	Diving	Summer	2000 , 2004 , 2008 , 2012	0	2	2	4
