Rider	Manufacturer	Laps	Time/Retired	Grid
Simone Corsi	Aprilia	19	40:03.557	3
Joan Olivé	Aprilia	19	+0.098	7
Tomoyoshi Koyama	KTM	19	+1.943	6
Raffaele De Rosa	Aprilia	19	+2.191	11
Gábor Talmácsi	Aprilia	19	+2.646	4
Lukáš Pešek	Derbi	19	+2.939	5
Lorenzo Zanetti	Aprilia	19	+3.119	14
Bradley Smith	Honda	19	+3.120	13
Andrea Iannone	Aprilia	19	+10.353	17
Héctor Faubel	Aprilia	19	+10.842	2
Pol Espargaró	Aprilia	19	+14.446	18
Michael Ranseder	Derbi	19	+15.421	8
Pablo Nieto	Aprilia	19	+15.665	12
Esteve Rabat	Honda	19	+15.870	21
Randy Krummenacher	KTM	19	+15.974	16
Nicolás Terol	Derbi	19	+16.136	9
Stefano Bianco	Aprilia	19	+24.203	22
Roberto Tamburini	Aprilia	19	+33.668	20
Federico Sandi	Aprilia	19	+34.531	23
Joey Litjens	Honda	19	+45.615	24
Kev Coghlan	Honda	19	+45.630	27
Robert Mureşan	Derbi	19	+46.162	28
Danny Webb	Honda	19	+49.852	30
Dominique Aegerter	Aprilia	19	+51.982	29
Stevie Bonsey	KTM	19	+1:11.252	25
Hugo van den Berg	Aprilia	19	+1:55.696	31
Tobias Siegert	Aprilia	18	+1 Lap	34
Mattia Pasini	Aprilia	18	Retirement	1
Alen Győrfi	Aprilia	17	Mechanical	33
Sergio Gadea	Aprilia	17	Mechanical	15
Simone Grotzkyj	Aprilia	13	Mechanical	26
Alexis Masbou	Honda	11	Accident	19
Dino Lombardi	Honda	9	Mechanical	32
Sandro Cortese	Aprilia	6	Accident	10
