#	Importing Nation	10 3 bbl/day (2011)	10 3 m 3 /day (2011)	10 3 bbl/day (2009)	10 3 m 3 /day (2009)	10 3 bbl/day (2006)	10 3 m 3 /day (2006)
1	United States 1	8728	1388	9631	1531	12220	1943
2	China 2	5487	872	4328	688	3438	547
3	Japan	4329	688	4235	673	5097	810
4	India	2349	373	2233	355	1687	268
5	Germany	2235	355	2323	369	2483	395
6	South Korea	2170	345	2139	340	2150	342
7	France	1697	270	1749	278	1893	301
8	Spain	1346	214	1439	229	1555	247
9	Italy	1292	205	1381	220	1558	248
10	Singapore	1172	186	916	146	787	125
11	Republic of China (Taiwan)	1009	160	944	150	942	150
12	Netherlands	948	151	973	155	936	149
13	Turkey	650	103	650	103	576	92
14	Belgium	634	101	597	95	546	87
