Location	Year	Champion	Runner-up	Score
Valencia	2013	Alexander Peya Bruno Soares	Bob Bryan Mike Bryan	7–6 (7–3) , 6–7 (1–7) , [13–11]
Valencia	2012	Alexander Peya Bruno Soares	David Marrero Fernando Verdasco	6–3, 6–2
Valencia	2011	Bob Bryan Mike Bryan	Eric Butorac Jean-Julien Rojer	6–4, 7–6 (11–9)
Valencia	2010	Andy Murray Jamie Murray	Mahesh Bhupathi Max Mirnyi	7–6 (10–8) , 5–7, [10–7]
Valencia	2009	František Čermák Michal Mertiňák	Marcel Granollers Tommy Robredo	6–4, 6–3
Valencia	2008	Máximo González Juan Mónaco	Travis Parrott Filip Polášek	7–5, 7–5
Valencia	2007	Wesley Moodie Todd Perry	Yves Allegro Sebastián Prieto	7–5, 7–5
Valencia	2006	David Škoch Tomáš Zíb	Lukáš Dlouhý Pavel Vízner	6–4, 6–3
Valencia	2005	Fernando González Martín Rodríguez	Lucas Arnold Ker Mariano Hood	6–4, 6–4
Valencia	2004	Gastón Etlis Martín Rodríguez	Feliciano López Marc López	7–5, 7–6 (7–5)
Valencia	2003	Lucas Arnold Ker Mariano Hood	Brian MacPhie Nenad Zimonjić	6–1, 6–7 (7–9) , 6–4
Majorca	2002	Mahesh Bhupathi Leander Paes	Julian Knowle Michael Kohlmann	6–2, 6–4
Majorca	2001	Donald Johnson Jared Palmer	Feliciano López Francisco Roig	7–5, 6–3
Majorca	2000	Michaël Llodra Diego Nargiso	Alberto Martín Fernando Vicente	7–6 (7–2) , 7–6 (7–3)
Majorca	1999	Lucas Arnold Ker Tomás Carbonell	Alberto Berasategui Francisco Roig	6–1, 6–4
Majorca	1998	Pablo Albano Daniel Orsanic	Jiří Novák David Rikl	7–6 (11–9) , 6–3
Marbella	1997	Karim Alami Julian Alonso	Alberto Berasategui Jordi Burillo	4–6, 6–3, 6–0
Marbella	1996	Andrew Kratzmann Jack Waite	Pablo Albano Lucas Arnold Ker	6–7, 6–3, 6–4
Valencia	1995	Tomás Carbonell Francisco Roig	Tom Kempers Jack Waite	7–5, 6–3
