Year	Song Title	Film Name	Language	Music Director
2012	"Vadamallikari"	Kozhi Koovuthu	Tamil	E.S Ramraj
2012	"Sundara Purusha"	Murattu Kalai	Tamil	Srikanth Deva
2012	"Nee Romba Romba"	Uyirodu	Tamil	Thomas Rathnam
2011	"Mele Mele"	Makaramanju	Malayalam	Ramesh Narayan
2011	"Ore Kina"	Sevens	Malayalam	Bijibal
2011	"Adi Thkali"	Oru Sol	Tamil	VVR
2011	"Agara Muthala"	Oru Sol	Tamil	VVR
2010	"Empillo Apple O"	Ragada	Telugu	Thaman
2010	"Nudisale"	Kiccha Huccha	Kannada	S. Narayan
2010	"Kaanala Chilaka"	Villain	Telugu	A. R. Rahman
2010	"Pachamaram onnu"	Karuvarai Pookkal	Tamil	Thomas Rathnam
2010	"Kaattu Sirukki"	Raavanan	Tamil	A. R. Rahman
2010	"Ranjha Ranjha"	Raavan	Hindi	A. R. Rahman
2010	"Aasa Machaane"	Kola Kolaya Mundhirika	Tamil	V. Selvaganesh
2010	"Aasa Machaane ( Remix)"	Kola Kolaya Mundhirika	Tamil	V. Selvaganesh
2009	"Zulfane Khol"	Do Knot Disturb	Hindi	Nadeem-Shravan
2009	"Samba"	Daddy Cool	Malayalam	Bijibal
2009	"Ambarai"	Thoppul Kodi	Tamil	Thomas Rathnam
2009	"Sithhana Vaasalil"	Ragavan	Tamil	Gangai Amaran
2009	"Aadi Maasa Kaathadikka"	Thottupaar	Tamil	Srikanth Deva
2009	"Oh Sexy Mama"	Yavarum Nalam	Tamil	Shankar Ehsaan Loy
2009	"Oh Sexy Mama (Remix)"	Yavarum Nalam	Tamil	Shankar Ehsaan Loy
2008	"Mozha Mozhannu"	Kuruvi	Tamil	Vidhyasagar
2008	"Aaha Biduru Bombege"	Gaalipata	Kannada	V. Harikrishna
2008	"Namma Ooru Nallarukku"	Seval	Tamil	G. V. Prakash Kumar
2008	"Chuttipoove"	Satrumun Kidaitha Thagaval	Tamil	S. Baskar
2008	"Rojavanam"	Satrumun Kidaitha Thagaval	Tamil	S. Baskar
2008	"Indha Pakkam"	Yen Indha Mounam	Tamil	K.M. Ratha Krishnan
2007	"Pulari Ponn Prave"	Flash	Malayalam	Gopi Sundar
2007	"Pondicherry Sarakku"	Manikanda	Tamil	Deva
2007	"Inji Inji"	Manikanda	Tamil	Deva
2007	"Mama Mama Mama"	Manikanda	Tamil	Deva
2007	"Aasai Poove"	Aatchi	Tamil	Deva
2007	"Unnai Oru Nilavazhaikuthu"	Aatchi	Tamil	Deva
2007	"Vachirukken Vachirukken"	Veerasamy	Tamil	Vijaya T. Rajendar
2006	"Masti Maro"	Bangaram	Telugu	Vidhyasagar
2006	"Olli Olli Iduppey"	Aathi	Tamil	Dheena
2006	"Kode Kode Kobbarimithai"	Suntaragaali	Kannada	Sadhu Kokila
2006	"Vastaava"	Vikramarkudu	Telugu	M. M. Keeravani
2005	"Thai Maasam"	Majaa	Tamil	Vidhyasagar
2005	"Teri Kurti Sexy"	Vaada	Hindi	Himesh Reshammiya
2005	"Oh Priyasakhi"	Priyasakhi	Tamil	Bharadwaj
2005	"Sanje Sooryane"	7'O Clock	Kannada	M. S. Madhukar
2005	"Goyyango"	Idhaya Thirudan	Tamil	Bharadwaj
2005	"Thachhuko Thachhuko"	Ponniyin Selvan	Tamil	Vidhyasagar
2005	"Appan Panna Thappula"	Thirupaachi	Tamil	Dheena
2005	"Uyire En Uyire"	Thotti Jaya	Tamil	Harris Jayaraj
2005	"Adi Kalyana Sundari"	Adaikkalam	Tamil	Sabesh
