Rank	Peak	Country	Island	Elevation (m)	Prominence (m)	Col (m)
1	Finisterre Range High Point	Papua New Guinea	New Guinea	4,175	3,734	441
2	Mount Suckling	Papua New Guinea	New Guinea	3,676	2,976	700
3	Mount Wilhelm	Papua New Guinea	New Guinea	4,509	2,969	1540
4	Mount Victoria	Papua New Guinea	New Guinea	4,038	2,738	1300
5	Mount Balbi	Papua New Guinea	Bougainville Island	2,715	2,715	0
6	Mount Oiautukekea	Papua New Guinea	Goodenough Island	2,536	2,536	0
7	Mount Giluwe	Papua New Guinea	New Guinea	4,367	2,507	1860
8	New Ireland High Point	Papua New Guinea	New Ireland	2,340	2,340	0
9	Mount Ulawun	Papua New Guinea	New Britain	2,334	2,334	0
10	Mount Kabangama	Papua New Guinea	New Guinea	4,104	2,284	1820
11	Nakanai Mountains High Point	Papua New Guinea	New Britain	2,316	2,056	260
12	Mount Kilkerran	Papua New Guinea	Fergusson Island	1,947	1,947	0
13	Mount Piora	Papua New Guinea	New Guinea	3,557	1,897	1660
14	Mount Bosavi	Papua New Guinea	New Guinea	2,507	1,887	620
15	Mount Karoma	Papua New Guinea	New Guinea	3,623	1,883	1740
16	Mount Simpson	Papua New Guinea	New Guinea	2,883	1,863	1020
17	Mount Kunugui	Papua New Guinea	Karkar Island	1,833	1,833	0
18	Mount Victory	Papua New Guinea	New Guinea	1,891	1,831	60
19	Manam High Point	Papua New Guinea	Manam	1,807	1,807	0
20	Mount Michael	Papua New Guinea	New Guinea	3,647	1,787	1860
21	Mount Talawe	Papua New Guinea	New Britain	1,824	1,773	51
22	Barurumea Ridge	Papua New Guinea	New Britain	2,063	1,723	340
23	Mount Sarawaget	Papua New Guinea	New Guinea	4,121	1,701	2420
24	Bewani Mountains High Point	Papua New Guinea	New Guinea	1,980	1,664	316
25	Mount Bel	Papua New Guinea	Umboi Island	1,658	1,658	0
26	unnamed summit	Papua New Guinea	New Britain	1,951	1,651	300
27	Mount Maybole	Papua New Guinea	Fergusson Island	1,665	1,597	68
28	Adelbert Range High Point	Papua New Guinea	New Guinea	1,716	1,576	140
29	Sibium Mountains High Point	Papua New Guinea	New Guinea	2,295	1,555	740
30	Mount Shungol	Papua New Guinea	New Guinea	2,752	1,518	1234
31	Mount Taraka	Papua New Guinea	Bougainville Island	2,251	1,511	740
