Entered [A ]	Weeks in top 10	Single	Artist	Peak	Peak reached [A ]	Weeks at peak
8 Cannot handle non-empty timestamp argument! 1991	7	" Too Blind to See It "	Kym Sims Category:Articles with hCards	5	5 Cannot handle non-empty timestamp argument! 1992	2
2 Cannot handle non-empty timestamp argument! 1992	5	" I'm Doing Fine Now "	The Pasadenas Category:Articles with hCards	4	2 Cannot handle non-empty timestamp argument! 1992	4
2 Cannot handle non-empty timestamp argument! 1992	2	" The Bouncer "	Kicks Like a Mule	7	2 Cannot handle non-empty timestamp argument! 1992	1
9 Cannot handle non-empty timestamp argument! 1992	1	" Leave Them All Behind "	Ride	9	9 Cannot handle non-empty timestamp argument! 1992	1
1 Cannot handle non-empty timestamp argument! 1992	2	" November Rain "	Guns N' Roses	4	1 Cannot handle non-empty timestamp argument! 1992	1
1 Cannot handle non-empty timestamp argument! 1992	3	" America: What Time Is Love? "	The KLF Category:Articles with hCards	4	8 Cannot handle non-empty timestamp argument! 1992	2
8 Cannot handle non-empty timestamp argument! 1992	2	" One "	U2	7	8 Cannot handle non-empty timestamp argument! 1992	1
8 Cannot handle non-empty timestamp argument! 1992	1	" Come as You Are "	Nirvana	9	8 Cannot handle non-empty timestamp argument! 1992	1
5 Cannot handle non-empty timestamp argument! 1992	1	" (I Want to Be) Elected "	Mr. Bean & Smear Campaign	9	5 Cannot handle non-empty timestamp argument! 1992	1
3 Cannot handle non-empty timestamp argument! 1992	2	" Nothing Else Matters "	Metallica	6	3 Cannot handle non-empty timestamp argument! 1992	1
7 Cannot handle non-empty timestamp argument! 1992	7	" Abba-esque "	Erasure	1	7 Cannot handle non-empty timestamp argument! 1992	5
7 Cannot handle non-empty timestamp argument! 1992	4	" Too Funky "	George Michael Category:Articles with hCards	4	7 Cannot handle non-empty timestamp argument! 1992	1
5 Cannot handle non-empty timestamp argument! 1992	13	" Rhythm is a Dancer "	Snap!	1	2 Cannot handle non-empty timestamp argument! 1992	6
2 Cannot handle non-empty timestamp argument! 1992	1	" Book of Days "	Enya	10	2 Cannot handle non-empty timestamp argument! 1992	1
4 Cannot handle non-empty timestamp argument! 1992	1	" Sentinel "	Mike Oldfield Category:Articles with hCards	10	4 Cannot handle non-empty timestamp argument! 1992	1
1 Cannot handle non-empty timestamp argument! 1992	4	" Boss Drum "	The Shamen Category:Articles with hCards	4	8 Cannot handle non-empty timestamp argument! 1992	1
1 Cannot handle non-empty timestamp argument! 1992	2	" Super Mario Land "	Ambassadors of Funk	8	8 Cannot handle non-empty timestamp argument! 1992	1
1 Cannot handle non-empty timestamp argument! 1992	2	" Who Needs Love (Like That) "	Erasure	10	1 Cannot handle non-empty timestamp argument! 1992	2
8 Cannot handle non-empty timestamp argument! 1992	2	" Be My Baby "	Vanessa Paradis Category:Articles with hCards	6	8 Cannot handle non-empty timestamp argument! 1992	1
6 Cannot handle non-empty timestamp argument! 1992	5	" Slam Jam "	WWF Superstars	4	6 Cannot handle non-empty timestamp argument! 1992	2
