Number	Result	Date	Score	Opponent	Record
1	L	November 28, 1925	2–3	@ Ottawa Senators ( 1925–26 )	0–1–0
2	W	December 1, 1925	4–2	Toronto St. Patricks ( 1925–26 )	1–1–0
3	W	December 3, 1925	3–2	@ Montreal Canadiens ( 1925–26 )	2–1–0
4	W	December 5, 1925	4–0	Boston Bruins ( 1925–26 )	3–1–0
5	L	December 8, 1925	2–3	@ Boston Bruins ( 1925–26 )	3–2–0
6	W	December 12, 1925	5–2	Ottawa Senators ( 1925–26 )	4–2–0
7	W	December 16, 1925	4–2	@ Pittsburgh Pirates ( 1925–26 )	5–2–0
8	W	December 19, 1925	4–1	@ New York Americans ( 1925–26 )	6–2–0
9	W	December 23, 1925	1–0 OT	Pittsburgh Pirates ( 1925–26 )	7–2–0
10	W	December 26, 1925	2–0	@ Toronto St. Patricks ( 1925–26 )	8–2–0
11	L	December 30, 1925	4–7	Montreal Canadiens ( 1925–26 )	8–3–0
12	W	January 2, 1926	3–2 OT	New York Americans ( 1925–26 )	9–3–0
13	L	January 5, 1926	0–4	@ Ottawa Senators ( 1925–26 )	9–4–0
14	T	January 7, 1926	1–1 OT	Ottawa Senators ( 1925–26 )	9–4–1
15	W	January 12, 1926	5–2	Toronto St. Patricks ( 1925–26 )	10–4–1
16	W	January 16, 1926	1–0	Montreal Canadiens ( 1925–26 )	11–4–1
17	T	January 19, 1926	3–3 OT	@ Boston Bruins ( 1925–26 )	11–4–2
18	W	January 23, 1926	4–1	Pittsburgh Pirates ( 1925–26 )	12–4–2
19	T	January 25, 1926	1–1 OT	@ New York Americans ( 1925–26 )	12–4–3
20	L	January 27, 1926	1–2 OT	@ Pittsburgh Pirates ( 1925–26 )	12–5–3
21	L	January 30, 1926	0–5	Boston Bruins ( 1925–26 )	12–6–3
22	W	February 2, 1926	2–0	@ Montreal Canadiens ( 1925–26 )	13–6–3
23	W	February 9, 1926	5–3	@ Toronto St. Patricks ( 1925–26 )	14–6–3
24	W	February 13, 1926	2–1	New York Americans ( 1925–26 )	15–6–3
25	W	February 18, 1926	5–2	Toronto St. Patricks ( 1925–26 )	16–6–3
26	T	February 20, 1926	0–0 OT	@ Ottawa Senators ( 1925–26 )	16–6–4
27	T	February 23, 1926	1–1 OT	Ottawa Senators ( 1925–26 )	16–6–5
28	L	February 26, 1926	0–1	@ Pittsburgh Pirates ( 1925–26 )	16–7–5
29	W	February 27, 1926	4–3	@ Toronto St. Patricks ( 1925–26 )	17–7–5
30	L	March 2, 1926	0–4	Pittsburgh Pirates ( 1925–26 )	17–8–5
31	L	March 4, 1926	2–3	Boston Bruins ( 1925–26 )	17–9–5
32	W	March 6, 1926	4–3 OT	@ Montreal Canadiens ( 1925–26 )	18–9–5
33	W	March 11, 1926	5–1	New York Americans ( 1925–26 )	19–9–5
34	W	March 13, 1926	4–2	Montreal Canadiens ( 1925–26 )	20–9–5
35	L	March 16, 1926	0–1	@ Boston Bruins ( 1925–26 )	20–10–5
36	L	March 17, 1926	3–5	@ New York Americans ( 1925–26 )	20–11–5
