Finish	Driver	Races	Wins	Poles	Top 5	Top 10	Laps Led	Points	Earnings
1	David Pearson Category:Articles with hCards	42	15	7	26	33	3174	35638	$78,194
2	James Hylton Category:Articles with hCards	41	0	1	20	32	155	33688	$38,722
3	Richard Petty Category:Articles with hCards	39	8	15	20	22	2924	22952	$94,666
4	Henley Gray Category:Articles with hCards	45	0	0	4	18	0	22468	$21,901
5	Paul Goldsmith Category:Articles with hCards	21	3	1	11	11	452	22078	$54,609
6	Wendell Scott Category:Articles with hCards	45	0	0	3	17	0	21702	$23,052
7	John Sears Category:Articles with hCards	46	0	0	11	30	74	21432	$25,191
8	J.T. Putney Category:Articles with hCards	39	0	0	4	9	32	21208	$18,653
9	Neil Castles Category:Articles with hCards	41	0	0	7	17	0	20446	$19,034
10	Bobby Allison Category:Articles with hCards	33	3	4	10	15	714	19910	$23,419
11	Elmo Langley Category:Articles with hCards	47	2	1	12	20	308	19116	$22,455
12	Darel Dieringer Category:Articles with hCards	25	3	0	7	9	515	18214	$52,529
13	Ned Jarrett Category:Articles with hCards	21	0	0	5	8	167	17616	$23,254
14	Jim Paschal Category:Articles with hCards	18	2	2	6	10	759	16404	$30,984
15	Sam McQuagg Category:Articles with hCards	16	1	0	4	7	175	16068	$29,529
16	Paul Lewis Category:Articles with hCards	21	1	0	9	14	67	15352	$17,826
17	Marvin Panch Category:Articles with hCards	14	1	0	4	6	183	15308	$38,431
18	Cale Yarborough Category:Articles with hCards	14	0	0	3	7	252	15188	$28,130
19	G.C. Spencer Category:Articles with hCards	20	0	0	6	9	2	15028	$26,721
20	Clyde Lynn Category:Articles with hCards	40	0	0	1	15	0	14856	$13,221
21	Buck Baker Category:Articles with hCards	36	0	0	7	14	0	14504	$14,900
22	Buddy Baker Category:Articles with hCards	41	0	1	1	7	142	14302	$21,335
23	Fred Lorenzen Category:Articles with hCards	11	2	2	6	6	782	12454	$37,305
24	Curtis Turner Category:Articles with hCards	21	0	2	5	6	385	12266	$16,920
