Year	Winner	Jockey	Trainer	Owner	Distance (Miles)	Time	Purse
2013	Abstraction	Leandro Goncalves	David Carroll	My Meadowview Farm	1-1/16	1:46.16	$75,750
2012	Pretension	Javier Santiago	Christopher Grove	Kidwells Petite Stables	1-1/16	1:45.70	$75,000
2011	Concealed Identity	Sheldon Russell	Eddie Gaudet	Gaudet/Bailey	1-1/16	1:45.67	$70,000
2010	Bank the Eight	Mario G. Pino	Anthony W. Dutrow	Mercedes Stables LLC	1-1/8	1:52.11	$70,000
2009	Miner's Escape	Luis Garcia	Nick Zito	Robert V. LaPenta	1-1/8	1:51.23	$75,000
2008	Icabad Crane	Jeremy Rose	H. Graham Motion	Earle I. Mack	1-1/8	1:50.83	$100,000
2007	Xchanger	Ramon Dominguez	Mark Shuman	Circle Z Stables	1-1/8	1:49.98	$100,000
2006	Ah Day	Ryan Fogelsonger	King T. Leatherbury	Jim Stable	1-1/8	1:50.88	$125,000
2005	Malibu Moonshine	Steve Hamilton	King T. Leatherbury	Woodrow Marriott	1-1/8	1:53.31	$125,000
2004	Water Cannon	Ryan Fogelsonger	Linda Albert	Ellen Fredel/Pat Dooher	1-1/8	1:50.50	$100,000
2003	Cherokee's Boy	Ryan Fogelsonger	Gary Capuano	Z W P Stable	1-1/8	1:49.86	$150,000
2002	Smoked Em	Richard Migliore	Todd A. Pletcher	G Three Stable	1-1/8	1:50.33	$100,000
2001	Marciano	Mark T. Johnston	Timothy F. Ritchey	Win More Stable	1-1/8	1:49.00	$150,000
2000	Runspastum	Robbie Davis	Alan E. Goldberg	Jayeff B Stables	1-1/8	1:51.16	$150,000
1999	Talks Cheap	Mike Luzzi	Linda L. Rice	Harry V. Quadracci	1-1/8	1:50.11	$150,000
1998	Thomas Jo	Steve Hamilton	James A. Jerkens	Earle I. Mack / Team Valor	1-1/8	1:50.04	$200,000
1997	Concerto	Mike Smith	John Tammaro	Kinsman Stables	1-1/8	1:49.10	$150,000
1996	Tour's Big Red	Joe Bravo	Enrique Alonso	William Penn	1-1/8	1:50.00	$200,000
1995	Oliver's Twist	Alberto Delgado	J. William Boniface	Charles M. Oliver	1-1/8	1:52.00	$200,000
1994	Silver Profile	Omar Klinger	Vincent L. Blengs	Vincent L. Blengs	1-1/8	1:51.40	$150,000
1993	Woods of Windsor	Rick Wilson	Ben W. Perkins, Jr.	Augustus Riggs, IV	1-1/8	1:49.40	$125,000
1992	Speakerphone	Clarence J. Ladner	Dean Gaudet	Israel Cohen	1-1/8	1:49.40	$125,000
1991	Tong Po	Marco Castaneda	Leon Blusiewicz	Robert & Lorraine Quinichett	1-1/16	1:44.20	$175,000
1990	Smelly	Jean Cruguet	Craig Nicholson	Bob Watkins	1-1/16	1:45.20	$200,000
1989	Rock Point	Chris Antley	Sydney Watters, Jr.	Brookmeade Stable	1-1/16	1:44.20	$200,000
1988	Private Terms	Chris Antley	Charles Hadry	Locust Hill Farm	1-1/16	1:44.60	$170,000
1987	Rolls Aly	Richard Migliore	Bruce Johnstone	Francis X. Weber	1-1/16	1:44.40	$205,000
1986	Broad Brush	Chris McCarron	Richard W. Small	Robert E. Meyerhoff	1-1/16	1:44.80	$125,000
1985	Sparrowvon	Wayne Barnett	Harold A. Allen	Harold A. Allen	1-1/16	1:42.60	$115,000
1984	Fourmatt	Paul Nicol, Jr.	Joe Clancy	Not Found	1-1/16	1:43.80	$125,000
1983	Deputed Testamony	Donald Miller, Jr.	J. William Boniface	Bonita Farm	1-1/16	1:42.80	$125,000
1982	Hush Hush Hush	Jack Kaenel	Not Found	Not Found	1-1/16	1:46.40	$92,500
1981	Boston Tea	William Jenkins	Glenn L. Ballenger	Glenn L. Ballenger	1-1/16	1:44.80	$35,000
