Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
4	November 3	New Orleans	L 99–107 (OT)	Aaron Brooks , Kevin Martin (18)	Luis Scola (16)	Luis Scola (5)	Toyota Center 13,484	0–4
5	November 6	@ San Antonio	L 121–124 (OT)	Kevin Martin (24)	Chuck Hayes (13)	Ishmael Smith (7)	AT&T Center 17,740	0–5
6	November 7	Minnesota	W 120–94 (OT)	Luis Scola (24)	Luis Scola (8)	Ishmael Smith (6)	Toyota Center 15,058	1–5
7	November 10	@ Washington	L 91–98 (OT)	Kevin Martin (31)	Chuck Hayes , Kevin Martin (7)	Kevin Martin (6)	Verizon Center 13,665	1–6
8	November 12	@ Indiana	W 102–99 (OT)	Brad Miller (23)	Luis Scola (9)	Kyle Lowry (7)	Conseco Fieldhouse 14,414	2–6
9	November 14	@ New York	W 104–96 (OT)	Kevin Martin (28)	Chuck Hayes (9)	Kyle Lowry (6)	Madison Square Garden 19,763	3–6
11	November 17	@ Oklahoma City	L 99–116 (OT)	Luis Scola (26)	Luis Scola (8)	Ishmael Smith (5)	Oklahoma City Arena 17,509	3–8
12	November 19	@ Toronto	L 96–106 (OT)	Kevin Martin (31)	Kyle Lowry (7)	Kyle Lowry (12)	Air Canada Centre 17,369	3–9
13	November 22	Phoenix	L 116–123 (OT)	Kevin Martin (19)	Jordan Hill (10)	Kyle Lowry (8)	Toyota Center 15,080	3–10
14	November 24	Golden State	W 111–101 (OT)	Kevin Martin (25)	Luis Scola (12)	Kyle Lowry (10)	Toyota Center 13,847	4–10
15	November 26	@ Charlotte	L 89–99 (OT)	Chase Budinger (19)	Chuck Hayes (10)	Kyle Lowry (6)	Time Warner Cable Arena 16,473	4–11
16	November 28	Oklahoma City	W 99–98 (OT)	Kevin Martin (23)	Jordan Hill , Brad Miller (7)	Kyle Lowry (8)	Toyota Center 15,316	5–11
