Name	Club	Age at debut	Debut round	Games (2008)	Goals (2008)
Jake Edwards Category:Articles with hCards	Carlton	20 years, 74 days	1	5	4
Paul Stewart Category:Articles with hCards	Port Adelaide	20 years, 254 days	1	11	1
Trent West Category:Articles with hCards	Geelong	20 years, 155 days	1	6	1
Nathan Brown Category:Articles with hCards	Collingwood	19 years, 96 days	1	23	4
Craig Bird Category:Articles with hCards	Sydney	19 years, 61 days	1	21	8
Jarryn Geary Category:Articles with hCards	St Kilda	19 years, 273 days	1	10	0
David Mackay Category:Articles with hCards	Adelaide	19 years, 242 days	1	19	4
Kurt Tippett Category:Articles with hCards	Adelaide	20 years, 320 days	1	19	17
Cale Morton Category:Articles with hCards	Melbourne	18 years, 65 days	1	19	12
Cyril Rioli Category:Articles with hCards	Hawthorn	18 years, 253 days	1	25	24
Cameron Stokes Category:Articles with hCards †	Hawthorn	18 years, 265 days	1	9	6
Isaac Weetra Category:Articles with hCards	Melbourne	18 years, 25 days	1	2	0
Scott Thompson Category:Articles with hCards	North Melbourne	21 years, 320 days	1	6	0
Lachlan Henderson Category:Articles with hCards	Brisbane Lions	18 years, 105 days	2	8	3
Brad Ebert Category:Articles with hCards	West Coast	17 years, 362 days	2	15	5
Chris Masten Category:Articles with hCards	West Coast	18 years, 332 days	2	9	1
Chris Mayne Category:Articles with hCards	Fremantle	19 years, 148 days	2	17	10
Rhys Palmer Category:Articles with hCards	Fremantle	19 years, 45 days	2	20	10
Darren Pfeiffer Category:Articles with hCards	Carlton	20 years, 183 days	2	7	4
Harry Taylor Category:Articles with hCards	Geelong	21 years, 292 days	2	21	3
Scott Selwood Category:Articles with hCards	West Coast	18 years, 9 days	3	9	2
Matthew Kreuzer Category:Articles with hCards	Carlton	18 years, 328 days	3	20	13
Austin Wonaeamirri Category:Articles with hCards †	Melbourne	19 years, 187 days	3	18	24
Jack Anthony Category:Articles with hCards	Collingwood	20 years, 78 days	3	12	25
Tayte Pears Category:Articles with hCards	Essendon	18 years, 18 days	4	5	2
Ben Ross Category:Articles with hCards	North Melbourne	19 years, 204 days	4	3	2
Matthew Spangher Category:Articles with hCards	West Coast	20 years, 355 days	4	7	1
Nick Smith Category:Articles with hCards †	Sydney	19 years, 312 days	5	2	1
Clayton Hinkley Category:Articles with hCards	Fremantle	19 years, 58 days	5	5	2
Jarrhan Jacky Category:Articles with hCards	Adelaide	19 years, 14 days	5	3	1
Sharrod Wellingham Category:Articles with hCards †	Collingwood	19 years, 293 days	6	12	4
Shane Mumford Category:Articles with hCards †	Geelong	21 years, 295 days	6	3	0
Steven Browne Category:Articles with hCards	Carlton	19 years, 85 days	6	13	4
James Polkinghorne Category:Articles with hCards	Brisbane Lions	19 years, 97 days	6	4	0
Jesse White Category:Articles with hCards	Sydney	20 years, 109 days	6	2	0
David Ellard Category:Articles with hCards †	Carlton	19 years, 50 days	7	1	1
James Sellar Category:Articles with hCards	Adelaide	19 years, 40 days	7	1	0
Josh Smith Category:Articles with hCards	North Melbourne	22 years, 59 days	7	2	0
Jarrod Atkinson Category:Articles with hCards †	Essendon	23 years, 73 days	7	5	2
Darcy Daniher Category:Articles with hCards	Essendon	18 years, 226 days	7	3	0
David Myers Category:Articles with hCards	Essendon	18 years, 309 days	7	8	1
Trent Cotchin Category:Articles with hCards	Richmond	18 years, 40 days	8	15	9
Ryan Davis Category:Articles with hCards †	West Coast	20 years, 355 days	8	11	4
Alan Obst Category:Articles with hCards †	North Melbourne	20 years, 364 days	8	3	0
Shane Valenti Category:Articles with hCards †	Melbourne	21 years, 110 days	8	9	3
Tim Houlihan Category:Articles with hCards	West Coast	19 years, 104 days	9	8	0
Beau Wilkes Category:Articles with hCards †	West Coast	22 years, 65 days	9	14	1
Josh Kennedy Category:Articles with hCards	Hawthorn	19 years, 340 days	9	3	0
Jarryd Morton Category:Articles with hCards	Hawthorn	19 years, 233 days	9	8	0
Dennis Armfield Category:Articles with hCards	Carlton	21 years, 161 days	10	9	2
Gavin Urquhart Category:Articles with hCards	North Melbourne	20 years, 13 days	10	14	0
Tom Bellchambers Category:Articles with hCards	Essendon	18 years, 334 days	11	3	0
James Hawksley Category:Articles with hCards	Brisbane Lions	19 years, 124 days	11	4	0
Callan Ward Category:Articles with hCards	Western Bulldogs	18 years, 59 days	11	6	2
Andy Otten Category:Articles with hCards	Adelaide	19 years, 30 days	12	2	0
Brent Renouf Category:Articles with hCards	Hawthorn	20 years, 42 days	12	8	0
Jarryd Allen Category:Articles with hCards	St Kilda	20 years, 158 days	13	4	0
Robert Eddy Category:Articles with hCards †	St Kilda	20 years, 165 days	13	13	3
Ben McEvoy Category:Articles with hCards	St Kilda	18 years, 354 days	13	1	0
Tom Collier Category:Articles with hCards	Brisbane Lions	19 years, 88 days	13	6	1
Stefan Martin Category:Articles with hCards	Melbourne	21 years, 225 days	14	8	0
Josh Head Category:Articles with hCards	Fremantle	25 years, 83 days	14	3	1
Todd Goldstein Category:Articles with hCards	North Melbourne	20 years, 11 days	15	3	2
