Year	Date	Location	Score	Result
2010	3 Feb	Lisbon (POR)	2-1	Win
2010	4 Feb	Lisbon (POR)	1-2	Loss
2010	5 Feb	Lisbon (POR)	0-3	Loss
2010	6 Feb	Lisbon (POR)	1-2	Loss
2011	2 Feb	Eilat (ISR)	0-3	Loss
2011	3 Feb	Eilat (ISR)	0-3	Loss
2011	4 Feb	Eilat (ISR)	3-0	Win
2011	5 Feb	Eilat (ISR)	0-2	Loss
2012	1 Feb	Eilat (ISR)	1-2	Loss
2012	2 Feb	Eilat (ISR)	0-3	Loss
2012	3 Feb	Eilat (ISR)	2-1	Win
2012	5 Feb	Eilat (ISR)	2-0	Win
2013	6 Feb	Eilat (ISR)	2-1	Win
2013	7 Feb	Eilat (ISR)	3-0	Win
2013	8 Feb	Eilat (ISR)	3-0	Win
2013	9 Feb	Eilat (ISR)	1-2	Loss
