Carrier	Standard	Frequency	(down)	(up)	Launch date (dd.mm.yyyy)
Orange	UMTS HSPA	2100MHz	7.2 Mbit/s	2.0 Mbit/s	01.11.2008
Orange	UMTS HSPA	2100MHz	14.4 Mbit/s	5.76 Mbit/s	02.09.2009
Orange	UMTS HSPA	2100MHz	21.1 Mbit/s	5.76 Mbit/s	21.12.2009
Orange	UMTS HSPA	2100MHz	42 Mbit/s	5.76 Mbit/s	27.05.2011
Moldcell	UMTS HSPA	2100MHz	7.2 Mbit/s	2 Mbit/s	01.10.2008
Moldcell	UMTS HSPA	2100MHz	21.1 Mbit/s	5.76 Mbit/s	31.05.2011
Unité	CDMA EV-DO Rev. 0	450MHz	2.4 Mbit/s	153 Mbit/s	01.03.2007
Unité	UMTS HSPA	2100MHz	14.4 Mbit/s	5.76 Mbit/s	01.03.2010
IDC	CDMA EV-DO Rev. 0	800MHz	2.4 МMbit/s	153 kbit/s	01.03.2007
IDC	CDMA EV-DO Rev. 0	450MHz	2.4 МMbit/s	153 kbit/s	01.03.2007
IDC	CDMA EV-DO Rev. A	800 МГц	3.1 Mbit/s	1.8 Mbit/s	21.03.2011
