No. in series	No. in season	Title	Directed by	Written by	Original air date
158	1	"Thrill"	Martha Mitchell	René Balcer	September24,1997
159	2	"Denial"	Christopher Misiano	René Balcer & David Shore	October8,1997
160	3	"Navy Blues"	Jace Alexander	Kathy McCormick & Dick Wolf	October15,1997
161	4	"Harvest"	Matthew Penn	I. C. Rapoport & René Balcer	October29,1997
162	5	"Nullification"	Constantine Makris	David Black	November5,1997
163	6	"Baby, It's You"	Ed Sherin	Jorge Zamacona	November12,1997
164	7	"Blood"	Jace Alexander	Craig Tepper & René Balcer	November19,1997
165	8	"Shadow"	Matthew Penn	Richard Sweren	November26,1997
166	9	"Burned"	Constantine Makris	Siobhan B. O'Connor	December10,1997
167	10	"Ritual"	Brian Mertes	Kathy McCormick & Richard Sweren	December17,1997
168	11	"Under the Influence"	Adam Davidson	René Balcer	January7,1998
169	12	"Expert"	Lewis H. Gould	David Shore & I. C. Rapoport	January21,1998
170	13	"Castoff"	Gloria Muzio	David Black & Harold Schecter	January28,1998
171	14	"Grief"	Christopher Misiano	Suzanne Oshry	February4,1998
172	15	"Faccia a Faccia"	Martha Mitchell	René Balcer & Eddie Feldmann	February25,1998
173	16	"Divorce"	Constantine Makris	Barry M. Schkolnick	March4,1998
174	17	"Carrier"	James Ranelli	David Black	April1,1998
175	18	"Stalker"	Richard Dobbs	Kathy McCormick	April15,1998
176	19	"Disappeared"	David Platt	Richard Sweren & William N. Fordes	April22,1998
177	20	"Burden"	Constantine Makris	David Shore & I. C. Rapoport	April24,1998
178	21	"Bad Girl"	Jace Alexander	Richard Sweren & René Balcer	April28,1998
179	22	"Damaged"	Constantine Makris	Janis Diamond	May6,1998
180	23	"Tabloid"	Brian Mertes	David Black & Alec Baldwin	May13,1998
