Date	Visitor	Score	Home	Decision	Attendance	Record
November 1	Washington	0 - 2	NY Rangers	Kolzig	18,200	5-7-0
November 2	Philadelphia	3 - 2	Washington	Kolzig	16,055	5-8-0
November 5	Washington	0 - 5	Carolina	Kolzig	12,171	5-9-0
November 6	Washington	1 - 2	Atlanta	Johnson	15,530	5-9-1
November 8	Washington	4 - 1	Ottawa	Kolzig	19,666	6-9-1
November 10	Tampa Bay	5 - 2	Washington	Kolzig	14,617	6-10-1
November 15	Washington	1 - 2	Florida	Kolzig	12,101	6-11-1
November 16	Washington	2 - 5	Tampa Bay	Kolzig	19,526	6-12-1
November 19	Florida	4 - 3	Washington	Kolzig	13,411	6-13-1
November 21	Atlanta	5 - 1	Washington	Kolzig	11,669	6-14-1
November 23	Washington	4 - 3	Philadelphia	Kolzig	19,727	7-14-1
November 24	Carolina	2 - 5	Washington	Kolzig	13,650	8-14-1
November 26	Buffalo	3 - 1	Washington	Kolzig	11,204	8-15-1
November 28	Florida	2 - 1	Washington	Kolzig	10,526	8-15-2
November 30	Washington	3 - 4	Carolina	Kolzig	16,386	8-16-2
