Episode	Air date	Official ITV1 rating	Weekly rank	Share
Auditions 1	16 August	10.78	1	48.2%
Auditions 2	23 August	10.10	1	45.4%
Auditions 3	30 August	8.80	2	43.5%
Auditions 4	6 September	9.57	1	42.8%
Auditions 5	13 September	9.96	1	43.2%
Auditions 6	20 September	10.01	1	41.7%
Bootcamp 1	27 September	8.94	6	36.0%
Bootcamp 2	28 September	9.47	1	38.1%
Judges' houses 1	4 October	10.84	1	40.5%
Judges' houses 2	5 October	10.11	3	42.7%
Live show 1	11 October	11.09	1	44.1%
Results 1	11 October	9.05	7	40.8%
Live show 2	18 October	10.21	3	38.5%
Results 2	18 October	9.13	9	39.7%
Live show 3	25 October	10.37	2	39.7%
Results 3	25 October	8.89	10	38.0%
Live show 4	1 November	11.65	1	43.3%
Results 4	1 November	9.72	6	37.6%
Live show 5	8 November	10.72	2	42.6%
Results 5	8 November	9.46	7	35.6%
Live show 6	15 November	11.28	1	43.5%
Results 6	15 November	10.62	2	42.9%
Live show 7	22 November	11.77	1	43.2%
Results 7	22 November	9.98	6	41.1%
Live show 8	29 November	12.67	1	46.0%
Results 8	29 November	11.41	2	50.0%
Semi-final	6 December	10.30	3	39.1%
Semi-final results	6 December	10.60	2	39.6%
Final performances	13 December	13.77	2	50.3%
Final results	13 December	14.06	1	54.4%
Series average	2008	10.51	N/A	42.4%
