Role	D'Oyly Carte 1920 Tour	D'Oyly Carte 1930 Tour	D'Oyly Carte 1939 Tour	D'Oyly Carte 1945 Tour	D'Oyly Carte 1950 Tour
Lieutenant	Sydney Granville	Joseph Griffin	Leslie Rands	Leslie Rands	Donald Harris
Col. Fairfax	Derek Oldham	Charles Goulding	John Dean	John Dean	Leonard Osborn
Sgt. Meryll	Darrell Fancourt	Darrell Fancourt	Darrell Fancourt	Darrell Fancourt	Darrell Fancourt
Leonard Meryll	Hugh Enes Blackmore	John Dean	Thomas Hancock	Herbert Garry	Thomas Hancock
Jack Point	Henry Lytton	Henry Lytton	Martyn Green	Grahame Clifford	Martyn Green
Wilfred	Leo Sheffield	Sydney Granville	Sydney Granville	Richard Walker	Richard Watson
1st Yeoman	James Turnbull	Herbert Aitken	Leonard Osborn	Rhys Thomas	Frederick Sinden
2nd Yeoman	Henry Blain	Richard Eaton	Hugh Rowlands	Hilton Layland	Eric Thornton
1st Citizen	Allen Morris	C. William Morgan	C. William Morgan	C. William Morgan	Roy Roser
2nd Citizen	Harry Arnold	T. Penry Hughes	Richard Walker	Wynn Dyson	Peter Pratt
Elsie	Sylvia Cecil	Winifred Lawson	Helen Roberts	Helen Roberts	Muriel Harding
Phoebe	Catherine Ferguson	Marjorie Eyre	Marjorie Eyre	Marjorie Eyre	Joan Gillingham
Dame Carruthers	Bertha Lewis	Bertha Lewis	Evelyn Gardiner	Ella Halman	Ella Halman
Kate	Elsie Griffin	Muriel Davies	Margery Abbott	Margaret Mitchell	Deidree Thurlow
