Outcome	Date	Tournament	Surface	Opponent in the final	Score
Winner	8 April 2001	Athens , Greece	Clay	Elena Yaryshka	7–5, 6–3
Winner	22 April 2001	Belgrade , FR Yugoslavia	Clay	Melinda Czink	6–3, 5–7, 7–5
Winner	1 July 2001	Båstad , Sweden	Clay	Amanda Hopmans	3–6, 6–3, 6–0
Winner	22 September 2002	Barcelona , Spain	Clay	María José Sánchez Alayeto	6–3, 7–5
Winner	20 October 2002	Makarska , Croatia	Clay	Lenka Novotná	6–4, 3–6, 6–1
Runner-up	24 November 2002	Mallorca , Spain	Clay	María José Sánchez Alayeto	6–2, 3–6, 6–3
Runner-up	1 December 2002	Mallorca, Spain	Clay	Rosa María Andrés Rodríguez	7–5, 7–5
Winner	22 June 2003	Canet-en-Roussillon , France	Clay	Amadine Singla	6–1, 6–2
Runner-up	27 July 2003	Horb , Germany	Clay	Maria Kondratieva	7–5, 6–3
Winner	3 August 2003	Saulgau , Germany	Clay	Tina Schiechtl	4–6, 6–2, 7–5
Winner	10 August 2003	Hechingen , Germany	Clay	Elise Tamaëla	4–6, 6–4, 6–2
Runner-up	28 September 2003	Jounieh , Lebanon	Clay	Kyra Nagy	6–1, 7–5
Runner-up	15 February 2004	Mallorca, Spain	Clay	Laura Pous Tió	4–6, 6–3, 6–0
Runner-up	22 February 2004	Mallorca, Spain	Clay	Ana Ivanovic	6–1, 6–1
Winner	10 July 2005	Toruń , Poland	Clay	Joanna Sakowicz	6–1, 6–2
Runner-up	25 September 2005	Tbilisi , Georgia	Clay	Sandra Záhlavová	6–0, 6–3
Runner-up	2 October 2005	Batumi , Georgia	Hard	Anastasiya Yakimova	6–4, 6–1
Runner-up	22 October 2005	Seville , Spain	Clay	Conchita Martínez Granados	6–2, 6–2
Runner-up	21 October 2006	Seville, Spain	Clay	Verdiana Verardi	6–4, 6–4
Runner-up	29 July 2007	Horb, Germany	Clay	Natalia Orlova	1–6, 6–0, 6–3
