Place	Player	Country	Score	To par	Money ( $ )
T1	Paul Azinger	United States	69-66-69-68=272	–12	Playoff
T1	Greg Norman	Australia	68-68-67-69=272	–12	Playoff
3	Nick Faldo	England	68-68-69-68=273	–11	105,000
4	Vijay Singh	Fiji	68-63-73-70=274	–10	90,000
5	Tom Watson	United States	69-65-70-72=276	–8	75,000
T6	John Cook	United States	72-66-68-71=277	–7	47,813
T6	Bob Estes	United States	69-66-69-73=277	–7	47,813
T6	Dudley Hart	United States	66-68-71-72=277	–7	47,813
T6	Nolan Henke	United States	72-70-67-68=277	–7	47,813
T6	Scott Hoch	United States	74-68-68-67=277	–7	47,813
T6	Hale Irwin	United States	68-69-67-73=277	–7	47,813
T6	Phil Mickelson	United States	67-71-69-70=277	–7	47,813
T6	Scott Simpson	United States	64-70-71-72=277	–7	47,813
