Date	Opponent	Score	Loss	Attendance	Record
April 6	@ Diamondbacks	6–2	Johnson (0–1)	46,949	1–0
April 7	@ Diamondbacks	9–4	Jennings (0–1)	25,918	1–1
April 8	@ Diamondbacks	6–5 (11)	Chacón (0–1)	26,448	1–2
April 9	@ Dodgers	5–1	Elarton (0–1)	54,599	1–3
April 10	@ Dodgers	7–4	Stark (0–1)	35,318	1–4
April 11	@ Dodgers	4–2	Pérez (0–1)	27,076	2–4
April 12	Diamondbacks	7–4	Koplove (0–1)	48,013	3–4
April 14	Diamondbacks	14–4	Dessens (0–1)	23,128	4–4
April 15	Diamondbacks	11–10	Elarton (0–2)	22,320	4–5
April 16	@ Cardinals	13–5	Stark (0–2)	34,541	4–6
April 17	@ Cardinals	8–4	Estes (2–1)	46,471	4–7
April 18	@ Cardinals	8–5	Williams (0–1)	34,697	5–7
April 20	Dodgers	7–1	Ishii (2–1)	22,169	6–7
April 21	Dodgers	9–4	Elarton (0–3)	21,685	6–8
April 22	Dodgers	7–1 (6)	Lima (2–1)	19,667	7–8
April 23	Astros	13–7	Jennings (1–2)	23,719	7–9
April 24	Astros	8–5	Fassero (0–1)	35,260	7–10
April 25	Astros	4–1	Miller (2–2)	30,912	8–10
April 26	Marlins	6–3	Elarton (0–4)	20,009	8–11
April 27	Marlins	13–10	Fox (0–1)	20,615	9–11
April 28	Marlins	9–4	Jennings (1–3)	27,402	9–12
