Year	Australian Open	French Open	Wimbledon	US Open
2003	Andre Agassi	Juan Carlos Ferrero	Roger Federer	Andy Roddick
2004	Roger Federer	Gastón Gaudio	Roger Federer	Roger Federer
2005	Marat Safin	Rafael Nadal	Roger Federer	Roger Federer
2006	Roger Federer	Rafael Nadal	Roger Federer	Roger Federer
2007	Roger Federer	Rafael Nadal	Roger Federer	Roger Federer
2008	Novak Djokovic	Rafael Nadal	Rafael Nadal	Roger Federer
2009	Rafael Nadal	Roger Federer	Roger Federer	Juan Martín del Potro
2010	Roger Federer	Rafael Nadal	Rafael Nadal	Rafael Nadal
2011	Novak Djokovic	Rafael Nadal	Novak Djokovic	Novak Djokovic
2012	Novak Djokovic	Rafael Nadal	Roger Federer	Andy Murray
2013	Novak Djokovic	Rafael Nadal	Andy Murray	Rafael Nadal
