Driver	Constructor	Laps	Time/Retired	Grid
Luigi Musso Juan Manuel Fangio	Ferrari	98	3:00:03.7	3
Jean Behra	Maserati	98	+24.4 secs	4
Mike Hawthorn	Maserati	98	+2 Laps	8
Chico Landi Gerino Gerini	Maserati	92	+6 Laps	11
Olivier Gendebien	Ferrari	91	+7 Laps	10
Alberto Uria Oscar González	Maserati	88	+10 Laps	13
Stirling Moss	Maserati	81	Engine	7
Peter Collins	Ferrari	58	Accident	9
Luigi Piotti	Maserati	57	Accident	12
Carlos Menditeguy	Maserati	42	Halfshaft	6
Eugenio Castellotti	Ferrari	40	Gearbox	2
José Froilán González	Maserati	24	Engine	5
Juan Manuel Fangio	Ferrari	22	Fuel Pump	1
