Tie no	Home team	Score	Away team	Date
1	Preston North End	0–2	Wrexham	17 December 1977
2	Watford	2–0	Colchester United	17 December 1977
3	Walsall	1–1	Port Vale	17 December 1977
Replay	Port Vale	1–3	Walsall	19 December 1977
4	Gillingham	1–1	Peterborough United	17 December 1977
Replay	Peterborough United	2–0	Gillingham	20 December 1977
5	Grimsby Town	2–0	Barnsley	17 December 1977
6	Crewe Alexandra	0–0	Scarborough	17 December 1977
Replay	Scarborough	2–0	Crewe Alexandra	21 December 1977
7	Swindon Town	2–1	Brentford	17 December 1977
8	Shrewsbury Town	1–1	Stockport County	17 December 1977
Replay	Stockport County	1–2	Shrewsbury Town	19 December 1977
9	Northampton Town	0–2	Enfield	17 December 1977
10	Portsmouth	2–2	Swansea City	17 December 1977
Replay	Swansea City	2–1	Portsmouth	20 December 1977
11	Plymouth Argyle	1–0	Cambridge United	17 December 1977
12	Carlisle United	3–1	Chester	17 December 1977
13	Blyth Spartans	1–0	Chesterfield	17 December 1977
14	Minehead	0–3	Exeter City	17 December 1977
15	Wealdstone	2–1	Reading	17 December 1977
16	Rotherham United	6–0	Spennymoor United	17 December 1977
17	Wigan Athletic	1–0	Sheffield Wednesday	17 December 1977
18	Nuneaton Borough	1–2	Tilbury	17 December 1977
19	AP Leamington	0–0	Southend United	17 December 1977
Replay	Southend United	4–0	AP Leamington	19 December 1977
20	Hartlepool United	4–2	Runcorn	17 December 1977
