No.	Date	Tournament	Winning score	To par	Margin of victory	Runner(s)-up
1	Sep 16, 1984	Greater Milwaukee Open	67-68-69-68=272	–16	5 strokes	Tom Watson
2	Feb 3, 1985	Bing Crosby National Pro-Am	70-72-68-73=283	–5	1 stroke	Kikuo Arai , Larry Rinker , Curtis Strange
3	Feb 10, 1985	Hawaiian Open	67-66-65-69=267	–21	1 stroke	Craig Stadler
4	Jan 29, 1989	AT&T Pebble Beach National Pro-Am	66-68-73-70=277	–11	1 stroke	Tom Kite
5	Feb 4, 1990	AT&T Pebble Beach National Pro-Am	67-73-69-72=281	–7	2 strokes	Kenny Perry
6	Oct 7, 1990	H.E.B. Texas Open	64-68-66-63=261	–19	1 stroke	Gary Hallberg
7	Oct 16, 1991	Walt Disney World/Oldsmobile Classic	66-66-71-64=267	–21	1 stroke	David Peoples
8	Feb 2, 1992	AT&T Pebble Beach National Pro-Am	69-68-68-70=275	–13	Playoff	Jeff Sluman
9	Mar 12, 1995	Honda Classic	68-65-71-71=275	–9	1 stroke	Nick Faldo
10	Sep 10, 1995	Bell Canadian Open	72-67-68-67=274	–14	Playoff	Bob Lohr
11	Jan 7, 1996	Mercedes Championships	68-69-66-68=271	–17	3 strokes	Nick Faldo , Scott Hoch
12	Apr 28, 1996	Greater Greensboro Chrysler Classic	75-68-62-69=274	–14	2 strokes	Duffy Waldorf
13	Feb 2, 1997	AT&T Pebble Beach National Pro-Am	67-67-67-67=268	–20	1 stroke	David Duval , Tiger Woods
15	Apr 12, 1998	Masters Tournament	74-70-68-67=279	–9	1 stroke	Fred Couples , David Duval
