Player	Position	Previous Club	Apps	Tries	Goals	Points
Michael Platt	Full Back	Castleford Tigers	20	5	0	20
Dave Halley	Right Wing	Bradford Bulls	23	9	0	36
James Evans	Right Centre	Wakefield Trinity Wildcats	30	9	0	36
Tame Tupou	Left Wing	Brisbane Broncos	10	3	0	12
Iestyn Harris	Stand Off	Cardiff Blues Rugby Union	27	3	50/60	110
Paul Deacon (c)	Scrum Half	Oldham Roughyeds	20	3	90/106	188
Joe Vagana	Prop	New Zealand Warriors	19	1	0/1	4
Terry Newton	Hooker	Wigan Warriors	26	9	0	36
Andy Lynch	Prop	Castleford Tigers	29	5	0	20
David Solomona	Second Row	Wakefield Trinity Wildcats	24	5	0	20
Glenn Morrison (vc)	Second Row	Parramatta Eels	14	6	0	24
Jamie Langley (vc)	Loose Forward	Bradford Bulls	28	2	0	8
Chris Feather	Prop	Leeds Rhinos	13	1	0	4
Matt Cook	Second Row	Bradford Bulls	17	4	0	16
Sam Burgess	Loose Forward	Bradford Bulls	23	8	0	32
Matt James	Prop	Bradford Bulls	11	0	0	0
Craig Kopczak	Prop	Bradford Bulls	14	0	0	0
Simon Finnigan	Loose Forward	Salford City Reds	30	10	0	40
Wayne Godwin	Hooker	Hull	23	4	0	16
Ben Jeffries	Stand Off	Wakefield Trinity Wildcats	27	11	0	44
Chris Nero	Second Row	Huddersfield Giants	24	5	0	20
Paul Sykes	Right Centre	Harlequins RL	29	16	3/5	70
Semi Tadulala	Right Wing	Wakefield Trinity Wildcats	25	23	0	88
Jason Crookes	Right Centre	Bradford Bulls	0	0	0	0
Richard Johnson	Centre	Bradford Bulls	3	0	0	0
Kieran Hyde	Full Back	Bradford Bulls	0	0	0	0
Keale Carlile	Hooker	Bradford Bulls	1	0	0	0
Jode Sherriffe	Loose Forward	Bradford Bulls	0	0	0	0
James Donaldson	Second Row	Bradford Bulls	0	0	0	0
