Year	Starts	Wins	Top 5	Top 10	Poles	Avg. Start	Avg. Finish	Winnings	Position	Team(s)
1984	5	0	0	0	0	28.8	24.4	$16,425	53rd	Langley Racing
1985	28	0	0	3	0	21.3	18.4	$211,522	16th	Donlavey Racing
1986	29	0	0	4	0	23.5	19.5	$235,904	16th	Donlavey Racing
1987	29	0	1	10	1	11.9	16.2	$375,918	10th	Donlavey Racing
1988	29	1	4	17	2	9.7	11.7	$631,544	5th	Hendrick Motorsports
1989	29	1	10	14	4	7.2	13.2	$1,037,941	5th	Hendrick Motorsports
1990	29	0	7	14	3	9.7	15.0	$769,934	10th	Hendrick Motorsports
1991	29	2	10	18	0	10.4	14.3	$772,434	9th	Hendrick Motorsports
1992	29	0	4	11	1	12.3	16.2	$639,679	17th	Hendrick Motorsports
1993	30	0	9	15	6	10.3	15.0	$952,748	9th	Hendrick Motorsports
1994	31	0	9	18	0	14.2	12.4	$1,171,062	4th	Hendrick Motorsports
1995	31	0	2	10	1	17.8	20.7	$886,566	17th	Hendrick Motorsports
1996	31	0	3	10	0	16.2	17.2	$1,089,603	12th	Hendrick Motorsports
1997	32	0	2	8	2	14.1	17.8	$1,355,292	10th	Andy Petree Racing
1998	33	0	3	11	2	17.2	17.9	$1,887,399	12th	Andy Petree Racing
1999	34	0	0	6	1	15.0	20.6	$1,939,147	15th	Andy Petree Racing
2000	34	0	0	2	0	23.2	21.3	$1,711,476	18th	MB2 Motorsports
2001	36	0	0	5	0	22.8	22.3	$2,418,181	19th	MB2 Motorsports
2002	36	0	0	0	0	24.2	27.0	$2,460,140	30th	MB2 Motorsports
2003	32	0	0	2	0	29.7	28.8	$2,007,424	36th	BAM Racing
2004	36	0	0	1	0	29.7	26.6	$2,666,592	31st	BAM Racing
2005	36	0	0	3	0	30.1	25.3	$3,057,533	31st	BAM Racing
2006	36	0	0	2	0	25.6	26.2	$4,130,883	31st	Wood Brothers Racing
2007	13	0	0	0	0	27.2	30.7	$1,519,346	49th	Wood Brothers Racing BAM Racing
2010	1	0	0	0	0	38.0	18.0	$119,059	65th	Latitude 43 Motorsports
2011	7	0	0	0	0	39.0	28.4	$605,615	38th	FAS Lane Racing
2012	13	0	0	0	0	39.5	32.8	$1,192,015	40th	FAS Lane Racing
